index,CTYNAME,YEAR,POPESTIMATE,0to4,median_age,5to17,18to49,50to64,65plus
109,TOMPKINS,2021,105162,3734,32.8,11393,56547,16934,16554
110,ULSTER,2020,181687,7874,44.4,24058,71403,41271,37081
111,ULSTER,2021,182951,7872,44.2,23644,72532,40938,37965
112,WARREN,2020,65638,2850,47.2,9078,23164,15421,15125
113,WARREN,2021,65618,2800,47.2,8912,23140,15360,15406
114,WASHINGTON,2020,61143,2789,44.6,8624,23267,14179,12284
115,WASHINGTON,2021,60956,2695,44.6,8523,23246,13924,12568
116,WAYNE,2020,91103,4952,43.9,14515,32514,21345,17777
117,WAYNE,2021,90923,4894,43.7,14401,32324,21086,18218
118,WESTCHESTER,2020,1003245,53804,41.4,165110,397409,212909,174013
119,WESTCHESTER,2021,997895,52064,41.6,161774,395574,210975,177508
120,WYOMING,2020,40401,1862,43.1,5706,16157,9117,7559
121,WYOMING,2021,40491,1817,43.1,5592,16234,9077,7771
122,YATES,2020,24709,1580,40.9,3988,8900,4993,5248
123,YATES,2021,24613,1534,41.2,3932,8869,4975,5303
124,ALBANY,2018,306585,15472,38,40893,138352,59900,51968
125,ALBANY,2019,305506,15204,38.2,40561,137409,59060,53272
126,ALLEGANY,2018,46332,2412,39.8,6989,18671,9429,8831
127,ALLEGANY,2019,46091,2424,40,6850,18531,9231,9055
128,BRONX,2018,1432087,102604,34.5,252442,639889,252831,184321
129,BRONX,2019,1418207,100199,34.8,248464,629330,251448,188766
130,BROOME,2018,191925,10104,39.7,27047,78934,39260,36580
131,BROOME,2019,190488,9886,39.7,26919,78164,38539,36980
132,CATTARAUGUS,2018,76726,4321,42.2,12640,28269,16814,14682
133,CATTARAUGUS,2019,76117,4160,42.4,12476,27937,16522,15022
134,CAYUGA,2018,77121,3872,43.1,11303,29760,17469,14717
135,CAYUGA,2019,76576,3830,43.5,11071,29261,17225,15189
136,CHAUTAUQUA,2018,127472,6964,42.9,18960,48170,27747,25631
137,CHAUTAUQUA,2019,126903,6896,43,18733,47800,27189,26285
138,CHEMUNG,2018,83935,4663,41.8,13290,32157,17897,15928
139,CHEMUNG,2019,83456,4618,41.9,13065,31895,17594,16284
140,CHENANGO,2018,47445,2536,44.9,7270,16992,10990,9657
141,CHENANGO,2019,47207,2521,44.8,7196,16848,10792,9850
142,CLINTON,2018,80679,3898,40.2,10583,35195,17212,13791
143,CLINTON,2019,80485,3890,40.4,10531,34844,16999,14221
144,COLUMBIA,2018,59785,2498,48.6,7822,20684,14577,14204
145,COLUMBIA,2019,59461,2496,49,7590,20494,14381,14500
146,CORTLAND,2018,47722,2511,36.3,6716,21520,9129,7846
147,CORTLAND,2019,47581,2464,36.6,6661,21367,9054,8035
148,DELAWARE,2018,44526,1759,48.5,5650,15703,10448,10966
149,DELAWARE,2019,44135,1750,48.9,5459,15506,10304,11116
150,DUTCHESS,2018,293939,13459,42.5,41890,119759,67065,51766
151,DUTCHESS,2019,294218,13561,42.5,41329,119487,66442,53399
152,ERIE,2018,919717,50277,40.2,136121,374368,193999,164952
153,ERIE,2019,918702,50101,40.3,135172,372772,191722,168935
154,ESSEX,2018,37288,1488,48.1,4616,13476,8952,8756
155,ESSEX,2019,36885,1479,48.6,4429,13212,8816,8949
156,FRANKLIN,2018,50279,2381,40.3,7342,21420,10625,8511
157,FRANKLIN,2019,50022,2348,40.4,7247,21237,10465,8725
158,FULTON,2018,53633,2740,43.7,8098,20309,12012,10474
159,FULTON,2019,53383,2685,43.9,8065,19971,11910,10752
160,GENESEE,2018,57487,2983,43.1,8765,21860,13079,10800
161,GENESEE,2019,57280,2936,43.1,8670,21700,12924,11050
162,GREENE,2018,47381,1969,46.6,5799,18031,11081,10501
163,GREENE,2019,47188,1955,47,5691,17831,10986,10725
164,HAMILTON,2018,4432,133,55.9,455,1223,1245,1376
165,HAMILTON,2019,4416,147,56.3,456,1206,1200,1407
166,HERKIMER,2018,61713,3117,44.1,9608,22534,13718,12736
167,HERKIMER,2019,61319,3060,44.2,9466,22319,13457,13017
168,JEFFERSON,2018,111866,8885,32.6,18091,51403,18199,15288
169,JEFFERSON,2019,109834,8586,33.1,17763,49930,17944,15611
170,KINGS,2018,2578074,186612,35.5,401354,1194175,435440,360493
171,KINGS,2019,2559903,182926,35.7,397745,1181714,429634,367884
172,LEWIS,2018,26486,1657,42,4428,9588,5939,4874
173,LEWIS,2019,26296,1632,42.2,4376,9482,5806,5000
174,LIVINGSTON,2018,63213,2686,40.8,8466,26906,13933,11222
175,LIVINGSTON,2019,62914,2662,40.8,8387,26659,13670,11536
176,MADISON,2018,71117,3398,42,10204,28393,16143,12979
177,MADISON,2019,70941,3438,42.2,10016,28097,15996,13394
178,MONROE,2018,742864,40852,39.2,113540,307709,151938,128825
179,MONROE,2019,741770,40401,39.4,112534,305995,150345,132495
180,MONTGOMERY,2018,49394,3155,40.5,8170,18685,10253,9131
181,MONTGOMERY,2019,49221,3146,40.6,8134,18591,10041,9309
182,NASSAU,2018,1357534,74390,41.7,217742,530074,293729,241599
183,NASSAU,2019,1356924,74099,41.8,216857,527976,291302,246690
184,NEW YORK,2018,1629055,77430,37.7,156323,842146,282296,270860
185,NEW YORK,2019,1628706,76144,37.8,156140,839590,280711,276121
186,NIAGARA,2018,210060,11141,43.2,31062,79807,48207,39843
187,NIAGARA,2019,209281,11030,43.3,30664,79158,47569,40860
188,ONEIDA,2018,229474,12909,40.9,35831,90050,47697,42987
189,ONEIDA,2019,228671,12867,40.9,35831,89201,46928,43844
190,ONONDAGA,2018,461649,26108,39.2,71922,188632,96290,78697
191,ONONDAGA,2019,460528,25871,39.4,71221,187567,95121,80748
192,ONTARIO,2018,109738,5445,43.7,16666,41129,24574,21924
193,ONTARIO,2019,109777,5325,43.7,16510,40961,24360,22621
194,ORANGE,2018,382126,25499,36.9,71919,155329,75737,53642
195,ORANGE,2019,384940,25894,36.8,72106,156279,75524,55137
196,ORLEANS,2018,40655,2087,42.9,5839,16048,9422,7259
197,ORLEANS,2019,40352,2026,43.1,5771,15747,9374,7434
198,OSWEGO,2018,117515,6353,40.3,18406,47166,26394,19196
199,OSWEGO,2019,117124,6342,40.4,18136,46663,26297,19686
200,OTSEGO,2018,59810,2541,42.5,7032,24976,12607,12654
201,OTSEGO,2019,59493,2480,42.7,6875,24766,12436,12936
202,PUTNAM,2018,98814,4419,44.3,15141,38000,24066,17188
203,PUTNAM,2019,98320,4404,44.5,14711,37618,23859,17728
204,QUEENS,2018,2274605,140781,39.3,317245,1002313,454853,359413
205,QUEENS,2019,2253858,137095,39.6,314364,982564,451502,368333
206,RENSSELAER,2018,159283,8216,40.1,22804,67354,33760,27149
207,RENSSELAER,2019,158714,8045,40.1,22594,66969,33301,27805
208,RICHMOND,2018,476260,27441,40,76627,195508,99235,77449
209,RICHMOND,2019,476143,27354,40.2,76332,194173,98983,79301
210,ROCKLAND,2018,325522,26473,35.9,65401,122285,60156,51207
211,ROCKLAND,2019,325789,26692,35.8,65876,121884,59568,51769
212,ST. LAWRENCE,2018,108327,5521,39.1,16361,45525,21945,18975
213,ST. LAWRENCE,2019,107740,5414,39.4,16221,45070,21676,19359
214,SARATOGA,2018,230170,11706,42.7,34414,91574,50731,41745
215,SARATOGA,2019,229863,11399,43.1,33813,90538,50881,43232
216,SCHENECTADY,2018,155079,9076,39.8,24463,63220,31980,26340
217,SCHENECTADY,2019,155299,9181,39.7,24332,63269,31574,26943
218,SCHOHARIE,2018,31146,1276,46,4139,11690,7211,6830
219,SCHOHARIE,2019,30999,1259,46.3,4112,11501,7080,7047
220,SCHUYLER,2018,17884,892,46.5,2535,6381,4280,3796
221,SCHUYLER,2019,17807,839,46.9,2465,6357,4236,3910
222,SENECA,2018,34179,1759,41.8,5035,13474,7368,6543
223,SENECA,2019,34016,1721,41.8,5068,13304,7246,6677
224,STEUBEN,2018,95860,5223,43.1,15347,35469,20979,18842
225,STEUBEN,2019,95379,5189,43.1,15083,35138,20758,19211
226,SUFFOLK,2018,1480830,79408,41.9,233849,585420,331764,250389
227,SUFFOLK,2019,1476601,79139,42,229959,580311,331251,255941
228,SULLIVAN,2018,75399,4269,42.8,11684,28346,16795,14305
229,SULLIVAN,2019,75432,4329,42.8,11529,28348,16647,14579
230,TIOGA,2018,48441,2413,44.7,7714,17141,11331,9842
231,TIOGA,2019,48203,2368,44.8,7575,17021,11145,10094
232,TOMPKINS,2018,102419,3932,31.5,11193,55587,16795,14912
233,TOMPKINS,2019,102180,3867,31.8,11109,55256,16518,15430
234,ULSTER,2018,178418,7833,44.2,23655,70962,40671,35297
235,ULSTER,2019,177573,7660,44.4,23284,70314,40132,36183
236,WARREN,2018,64215,2861,46.8,8878,23160,15024,14292
237,WARREN,2019,63944,2819,47,8764,22846,14841,14674
238,WASHINGTON,2018,61274,2878,44.3,8610,23717,14112,11957
239,WASHINGTON,2019,61204,2858,44.4,8532,23507,14019,12288
240,WAYNE,2018,90200,4910,43.8,14348,32919,20993,17030
241,WAYNE,2019,89918,4966,43.9,14130,32495,20775,17552
242,WESTCHESTER,2018,968213,54138,41.2,158238,387410,202923,165504
243,WESTCHESTER,2019,967506,53538,41.3,156744,385778,202935,168511
244,WYOMING,2018,40023,1913,42.8,5600,16337,8982,7191
245,WYOMING,2019,39859,1845,43,5595,16116,8880,7423
246,YATES,2018,24951,1520,41.3,3951,9107,5211,5162
247,YATES,2019,24913,1541,41.3,3939,9033,5084,5316
