SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,36,11,New York,Cayuga County,2,76095,39287,36808,3691,1911,1780,7540,3911,3629,3608,1882,1726,6060,3199,2861,63065,32538,30527,61256,31583,29673,27201,14683,12518,18425,10061,8364,21560,11088,10472,15211,7235,7976,3691,1911,1780,3941,2025,1916,4491,2345,2146,4382,2275,2107,4394,2347,2047,4618,2580,2038,4666,2587,2079,4779,2551,2228,4362,2343,2019,4421,2387,2034,5201,2718,2483,5990,3075,2915,5948,2908,3040,5092,2609,2483,4067,2019,2048,2576,1216,1360,1682,753,929,1794,638,1156,43.5,42.1,45.1
50,36,11,New York,Cayuga County,3,75880,39217,36663,3678,1896,1782,7428,3853,3575,3610,1868,1742,5937,3132,2805,62967,32537,30430,61164,31600,29564,27237,14742,12495,18593,10205,8388,21013,10827,10186,15621,7436,8185,3678,1896,1782,3889,2013,1876,4442,2303,2139,4305,2227,2078,4339,2310,2029,4597,2585,2012,4700,2593,2107,4814,2583,2231,4482,2444,2038,4183,2263,1920,5111,2651,2460,5768,2982,2786,5951,2931,3020,5242,2652,2590,4270,2132,2138,2650,1265,1385,1698,752,946,1761,635,1126,43.5,42.1,45.1
50,36,13,New York,Chautauqua County,2,127424,63378,64046,6739,3400,3339,13120,6657,6463,6194,3224,2970,11952,6112,5840,104519,51722,52797,101371,50097,51274,45108,23045,22063,28491,14521,13970,34592,17314,17278,26336,12150,14186,6739,3400,3339,7092,3567,3525,7557,3902,3655,8754,4398,4356,7863,4126,3737,7140,3799,3341,7454,3778,3676,7137,3610,3527,6760,3334,3426,7195,3597,3598,8062,4097,3965,9436,4705,4731,9899,4915,4984,8763,4427,4336,6624,3178,3446,4639,2126,2513,2936,1262,1674,3374,1157,2217,42.9,41.6,44.2
50,36,13,New York,Chautauqua County,3,126807,63108,63699,6544,3329,3215,13018,6562,6456,6207,3246,2961,11837,6047,5790,104177,51597,52580,101038,49971,51067,45059,23074,21985,28574,14603,13971,33817,16922,16895,26810,12399,14411,6544,3329,3215,7159,3609,3550,7418,3775,3643,8705,4417,4288,7780,4054,3726,7045,3755,3290,7446,3751,3695,7183,3652,3531,6900,3445,3455,6836,3391,3445,8008,4084,3924,9078,4535,4543,9895,4912,4983,8936,4470,4466,6996,3382,3614,4662,2129,2533,2949,1310,1639,3267,1108,2159,42.9,41.6,44.2
50,36,15,New York,Chemung County,2,83882,41795,42087,4497,2288,2209,9160,4656,4504,4177,2103,2074,6739,3482,3257,68147,33804,34343,66048,32748,33300,30314,15732,14582,20451,10673,9778,22580,11289,11291,16278,7304,8974,4497,2288,2209,4967,2498,2469,5246,2684,2562,5062,2549,2513,4801,2510,2291,5052,2660,2392,5273,2813,2460,5212,2648,2564,4914,2552,2362,4896,2556,2340,5353,2680,2673,6173,3034,3139,6158,3019,3139,5339,2592,2747,4326,2019,2307,2732,1202,1530,1871,757,1114,2010,734,1276,41.8,40.5,43.3
50,36,15,New York,Chemung County,3,83045,41441,41604,4355,2235,2120,8952,4541,4411,4195,2131,2064,6716,3448,3268,67605,33593,34012,65543,32534,33009,30222,15721,14501,20398,10685,9713,21963,10983,10980,16466,7418,9048,4355,2235,2120,4908,2444,2464,5131,2640,2491,4965,2505,2460,4859,2531,2328,4920,2633,2287,5257,2796,2461,5199,2672,2527,5022,2584,2438,4712,2473,2239,5266,2658,2608,5898,2905,2993,6087,2947,3140,5377,2629,2748,4502,2097,2405,2799,1243,1556,1849,749,1100,1939,700,1239,41.8,40.5,43.3
50,36,17,New York,Chenango County,2,47073,23719,23354,2406,1225,1181,5045,2574,2471,2294,1207,1087,3368,1745,1623,38488,19317,19171,37328,18713,18615,15608,7999,7609,10519,5353,5166,13566,6822,6744,9875,4793,5082,2406,1225,1181,2732,1371,1361,2886,1509,1377,2684,1399,1285,2405,1247,1158,2718,1366,1352,2511,1282,1229,2668,1382,1286,2622,1323,1299,2686,1355,1331,3164,1600,1564,3792,1873,1919,3924,1994,1930,3211,1642,1569,2620,1289,1331,1856,906,950,1145,543,602,1043,413,630,44.8,44.1,45.6
50,36,17,New York,Chenango County,3,46537,23430,23107,2351,1208,1143,4977,2510,2467,2302,1204,1098,3297,1734,1563,38040,19097,18943,36907,18508,18399,15443,7930,7513,10432,5295,5137,13132,6607,6525,10046,4872,5174,2351,1208,1143,2698,1351,1347,2867,1462,1405,2604,1376,1228,2407,1259,1148,2582,1298,1284,2597,1321,1276,2647,1361,1286,2606,1315,1291,2527,1279,1248,3106,1567,1539,3637,1801,1836,3862,1960,1902,3288,1669,1619,2690,1339,1351,1859,899,960,1165,552,613,1044,413,631,44.8,44.1,45.6
50,36,19,New York,Clinton County,2,79715,41142,38573,3752,1925,1827,7430,3844,3586,3290,1674,1616,9882,4924,4958,66889,34545,32344,65243,33699,31544,31919,17110,14809,19582,10931,8651,21624,11189,10435,14155,6655,7500,3752,1925,1827,4053,2103,1950,4212,2160,2052,5308,2646,2662,7029,3533,3496,4916,2702,2214,4873,2805,2068,5015,2763,2252,4778,2661,2117,4725,2572,2153,5096,2689,2407,6053,3061,2992,5750,2867,2883,4702,2348,2354,3864,1883,1981,2446,1160,1286,1631,703,928,1512,561,951,40.7,39.9,41.7
50,36,19,New York,Clinton County,3,79596,41183,38413,3666,1896,1770,7379,3812,3567,3333,1690,1643,9835,4892,4943,66872,34627,32245,65218,33785,31433,32020,17200,14820,19697,11049,8648,21165,10998,10167,14521,6846,7675,3666,1896,1770,4033,2105,1928,4191,2138,2053,5280,2623,2657,7043,3528,3515,4857,2721,2136,4892,2806,2086,5052,2799,2253,4896,2723,2173,4572,2498,2074,4930,2638,2292,5843,2932,2911,5820,2930,2890,4817,2417,2400,4067,1979,2088,2489,1171,1318,1647,719,928,1501,560,941,40.8,40,41.8
