county,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,conditions
BRONX,2020-01-11,46.0,34.3,40.357142857142854,42.48571428571428,26.32857142857143,34.51428571428571,25.842857142857145,57.6,0.0041428571428571434,14.285714285714286,1.7857142857142858,"rain,snow",0.18571428571428572,0.15714285714285717,32.34285714285714,18.457142857142856,260.5,1021.3857142857142,59.42857142857143,9.700000000000001,66.14285714285714,5.714285714285714,3.4285714285714284,,0.45285714285714285,Partially cloudy
BRONX,2020-01-18,46.57142857142857,34.51428571428571,40.65714285714286,42.699999999999996,26.428571428571427,35.18571428571429,28.3,64.31428571428572,0.0672857142857143,57.142857142857146,14.881428571428572,rain,0.1142857142857143,0.028571428571428574,34.14,18.157142857142855,212.3857142857143,1024.0142857142857,60.371428571428574,8.328571428571427,69.94285714285715,6.071428571428571,3.0,,0.65,"['Partially cloudy' 'Rain, Partially cloudy']"
BRONX,2020-01-25,41.41428571428571,28.842857142857138,35.0,37.128571428571426,20.042857142857144,28.75714285714286,19.857142857142858,56.18571428571429,0.127,14.285714285714286,4.167142857142857,rain,0.08571428571428572,0.14285714285714285,29.974999999999998,15.585714285714285,232.1142857142857,1023.2714285714285,39.34285714285714,9.457142857142857,96.41428571428571,8.357142857142858,4.0,,0.8128571428571428,['Clear' 'Partially cloudy']
BRONX,2020-02-01,41.471428571428575,34.3,37.728571428571435,37.25714285714286,27.014285714285712,31.74285714285714,25.7,62.728571428571435,0.003,28.571428571428573,1.1914285714285715,rain,0.0,0.0,23.14,12.771428571428572,188.5,1015.1285714285714,68.82857142857144,9.5,71.92857142857143,6.242857142857143,3.142857142857143,,0.10285714285714286,Partially cloudy
BRONX,2020-02-08,49.17142857142857,35.72857142857143,41.142857142857146,46.857142857142854,28.342857142857145,35.971428571428575,30.900000000000002,69.01428571428572,0.12228571428571429,71.42857142857143,21.43,rain,0.0,0.0,28.75,16.271428571428572,170.70000000000002,1006.7428571428571,74.3,8.214285714285714,56.314285714285724,4.885714285714286,2.7142857142857144,,0.39999999999999997,"['Partially cloudy' 'Rain, Partially cloudy']"
BRONX,2020-02-15,41.82857142857143,31.985714285714288,36.98571428571428,38.114285714285714,23.97142857142857,30.757142857142856,25.742857142857144,65.92857142857143,0.16685714285714287,57.142857142857146,23.214285714285715,rain,0.0,0.0,28.05,16.114285714285714,247.7428571428571,1021.6714285714287,63.471428571428575,8.442857142857143,84.15714285714286,7.271428571428571,3.5714285714285716,,0.5914285714285714,Partially cloudy
BRONX,2020-02-22,43.771428571428565,30.842857142857145,37.6,41.028571428571425,22.25714285714286,31.5,17.4,47.0,0.0,0.0,0.0,[],0.0,0.0,23.657142857142855,14.114285714285714,266.0857142857143,1025.0285714285715,43.042857142857144,9.528571428571428,122.98571428571428,10.557142857142859,4.571428571428571,,0.91,Partially cloudy
BRONX,2020-02-29,47.68571428571429,36.32857142857143,42.07142857142857,44.08571428571429,29.042857142857144,36.57142857142857,23.24285714285714,51.971428571428575,0.07814285714285714,42.857142857142854,11.905714285714286,rain,0.0,0.0,28.95,16.085714285714285,206.84285714285716,1011.9428571428572,60.285714285714285,8.514285714285714,119.58571428571429,10.314285714285715,4.714285714285714,,0.1942857142857143,Partially cloudy
BRONX,2020-03-07,51.07142857142857,38.885714285714286,44.642857142857146,48.92857142857143,31.428571428571427,40.228571428571435,27.542857142857144,54.01428571428572,0.07457142857142858,42.857142857142854,10.714285714285714,rain,0.0,0.0,31.071428571428573,17.428571428571427,236.5,1013.8285714285714,43.871428571428574,9.557142857142859,155.97142857142856,13.5,5.857142857142857,,0.3285714285714286,"['Partially cloudy' 'Rain, Partially cloudy']"
BRONX,2020-03-14,61.142857142857146,44.214285714285715,52.214285714285715,61.028571428571425,39.42857142857143,50.24285714285714,29.0,45.042857142857144,0.04271428571428572,28.571428571428573,7.142857142857143,rain,0.0,0.0,31.3,15.700000000000001,240.67142857142858,1021.2142857142857,51.628571428571426,9.414285714285715,143.21428571428572,12.271428571428572,5.571428571428571,,0.5485714285714286,Partially cloudy
BRONX,2020-03-21,57.142857142857146,41.44285714285714,47.81428571428571,56.45714285714286,35.528571428571425,44.371428571428574,30.957142857142856,55.385714285714286,0.16,28.571428571428573,10.714285714285714,rain,0.0,0.0,25.428571428571427,14.671428571428573,158.12857142857143,1025.6142857142856,64.37142857142858,9.171428571428573,143.24285714285716,12.4,5.571428571428571,,0.85,Partially cloudy
BRONX,2020-03-28,51.58571428571429,40.17142857142857,44.98571428571428,49.114285714285714,33.72857142857143,40.31428571428571,30.62857142857143,60.4,0.2544285714285714,42.857142857142854,13.691428571428572,rain,0.0,0.0,24.233333333333334,14.87142857142857,169.6142857142857,1020.7714285714286,56.67142857142857,9.185714285714285,138.04285714285714,11.942857142857141,4.857142857142857,,0.30428571428571427,"['Partially cloudy' 'Rain, Partially cloudy']"
BRONX,2020-04-04,52.68571428571429,42.48571428571428,47.34285714285714,51.34285714285714,35.628571428571426,43.57142857142857,36.22857142857143,67.84285714285714,0.04057142857142857,71.42857142857143,14.879999999999999,rain,0.0,0.0,28.3,16.9,133.28571428571428,1011.0428571428572,79.38571428571429,8.571428571428571,127.81428571428572,11.057142857142855,5.428571428571429,,0.2557142857142857,"Rain, Overcast"
