name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"40.943554,-72.6922184",2022-10-10,65.7,37.3,54,65.7,37.3,54,41,64.5,0,0,0,,0,0,19.7,13,212.7,1022.6,17,9.9,151.3,13.1,6,10,2022-10-10T06:56:46,2022-10-10T18:18:06,0.5,Clear,Clear conditions throughout the day.,clear-day,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-11,68.2,43.8,55.2,68.2,43.8,55.2,46.7,75.6,0,0,0,,0,0,15.2,9,279.3,1025.5,2.5,9.7,151.3,12.9,7,10,2022-10-11T06:57:50,2022-10-11T18:16:30,0.52,Clear,Clear conditions throughout the day.,clear-day,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-12,69.4,41.5,56.8,69.4,41.5,56.8,48.2,75.5,0,0,0,,0,0,23.5,10.2,187.1,1023.4,9.4,9.1,134,11.5,6,10,2022-10-12T06:58:55,2022-10-12T18:14:55,0.54,Clear,Clear conditions throughout the day.,clear-day,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-13,70.2,61.8,66.1,70.2,61.8,66.1,62.5,88.6,0.496,100,33.33,rain,0,0,27,16.4,151.7,1013.7,76.6,8.6,78.8,6.7,5,10,2022-10-13T07:00:00,2022-10-13T18:13:21,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-14,65.8,46.8,58.8,65.8,46.8,58.8,54.5,86.4,0.507,100,41.67,rain,0,0,32.4,20.4,323.5,1011.4,54,8.5,89.8,7.9,5,10,2022-10-14T07:01:05,2022-10-14T18:11:48,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV,D4559"
"40.943554,-72.6922184",2022-10-15,68.2,40.2,55.4,68.2,40.2,55.4,46.3,74.7,0,0,0,,0,0,15.9,9.7,191,1016.7,5.7,9.8,111,9.6,7,10,2022-10-15T07:02:10,2022-10-15T18:10:16,0.65,Clear,Clear conditions throughout the day.,clear-day,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV,D4559"
"40.943554,-72.6922184",2022-10-16,67.4,43.3,55,67.4,43.3,55,48.7,80.9,0,0,0,,0,0,12.1,8.1,314.2,1013.9,17.8,9,105.3,9.1,5,10,2022-10-16T07:03:16,2022-10-16T18:08:44,0.7,Clear,Clear conditions throughout the day.,clear-day,"KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV,D4559"
"40.943554,-72.6922184",2022-10-17,65,45.5,57.5,65,45.5,57.5,54.1,88.7,0.182,100,33.33,rain,0,0,31.8,13.5,189.5,1006.8,83.3,9.6,59.1,5.1,4,10,2022-10-17T07:04:22,2022-10-17T18:07:13,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-18,58.9,38.4,51.4,58.9,35,51.1,42.9,75.2,0.086,100,29.17,rain,0,0,18.1,9.8,265.9,1003.9,56.8,9.6,67.5,5.8,5,10,2022-10-18T07:05:29,2022-10-18T18:05:43,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-19,55.6,31.9,43.3,55.6,31.9,42.7,33.3,70.8,0,0,0,,0,0,29.6,18.7,245.6,1010.3,17.3,9.9,89.8,7.8,5,10,2022-10-19T07:06:35,2022-10-19T18:04:14,0.84,Clear,Clear conditions throughout the day.,clear-day,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-20,57.8,33.9,48.2,57.8,32,47.5,34.1,60.9,0,0,0,,0,0,29.1,18.1,229.2,1015.7,9.9,9.9,107.7,9.4,7,10,2022-10-20T07:07:42,2022-10-20T18:02:46,0.88,Clear,Clear conditions throughout the day.,clear-day,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-21,63,35.2,49.6,63,35.2,49.6,39.3,71,0,0,0,,0,0,17.2,9.6,219.4,1020.3,1,9.9,91.7,7.9,7,10,2022-10-21T07:08:50,2022-10-21T18:01:19,0.92,Clear,Clear conditions throughout the day.,clear-day,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-22,64.7,35.6,50,64.7,35.6,50,43.2,79.9,0,0,0,,0,0,10.5,7.6,176.1,1025.1,8.8,9.9,102.9,8.9,7,10,2022-10-22T07:09:58,2022-10-22T17:59:53,0.96,Clear,Clear conditions throughout the day.,clear-day,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-23,60.7,50.6,56.4,60.7,50.6,56.4,52.7,87.5,0.505,100,33.33,rain,0,0,28.9,12.6,29.3,1024.9,75.4,9.4,25.5,2.2,1,10,2022-10-23T07:11:06,2022-10-23T17:58:28,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-24,64,55.4,58.6,64,55.4,58.6,57.7,96.8,0.543,100,58.33,rain,0,0,26.4,10.1,34.1,1021.8,100,3.9,21.1,1.9,1,10,2022-10-24T07:12:14,2022-10-24T17:57:04,1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-25,71.8,64,66.6,71.8,64,66.6,65.1,95,0.011,100,8.33,rain,0,0,17.2,9.9,107.8,1019.2,92.3,6.3,78.2,6.7,4,10,2022-10-25T07:13:23,2022-10-25T17:55:41,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-26,69.1,61.6,64.8,69.1,61.6,64.8,63.8,96.7,0.002,100,8.33,rain,0,0,19.7,9.2,223.7,1010.5,99.2,3.1,46.3,4.1,2,10,2022-10-26T07:14:32,2022-10-26T17:54:20,0.01,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-27,65.8,48.8,58.7,65.8,48.8,58.7,47.5,69.3,0,0,0,,0,0,29.3,19.8,327.8,1017.7,8.1,9.6,93.1,8.2,6,10,2022-10-27T07:15:41,2022-10-27T17:52:59,0.03,Clear,Clear conditions throughout the day.,clear-day,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-28,56.5,45.1,50.4,56.5,40.9,48.9,37.7,62.4,0,0,0,,0,0,24.4,15.3,30.8,1032.1,2.1,9.9,96.9,8.5,7,10,2022-10-28T07:16:51,2022-10-28T17:51:40,0.06,Clear,Clear conditions throughout the day.,clear-day,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-29,59.5,36.1,47.5,59.5,36.1,46.5,41,79.8,0,0,0,,0,0,15.2,10.4,18.3,1031,24.7,9.9,41.5,3.6,2,10,2022-10-29T07:18:01,2022-10-29T17:50:22,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-30,63.4,30.7,45,63.4,30.7,45,37.8,79.2,0,0,0,,0,0,7.8,4.6,41.3,1024.3,11.8,9,82,7,6,10,2022-10-30T07:19:11,2022-10-30T17:49:06,0.15,Clear,Clear conditions throughout the day.,clear-day,"KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-31,64.7,40.9,56.8,64.7,40.9,56.8,51.9,84.6,0.011,100,8.33,rain,0,0,16.1,7.8,206.5,1018.4,88.4,9.3,60.8,5.3,3,10,2022-10-31T07:20:21,2022-10-31T17:47:50,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
