,Week Ending Date,County,Season,FIPS,Count
1169,2020-12-05,HERKIMER,2020-2021,36043,1
1170,2020-12-05,YATES,2020-2021,36123,0
1171,2020-12-05,TOMPKINS,2020-2021,36109,0
1172,2020-12-05,ESSEX,2020-2021,36031,5
1173,2020-12-05,FRANKLIN,2020-2021,36033,0
1174,2020-12-05,GREENE,2020-2021,36039,0
1175,2020-12-05,LIVINGSTON,2020-2021,36051,0
1176,2020-12-05,ALBANY,2020-2021,36001,0
1177,2020-12-05,SCHOHARIE,2020-2021,36095,0
1178,2020-12-12,CHAUTAUQUA,2020-2021,36013,0
1179,2020-12-12,WASHINGTON,2020-2021,36115,3
1180,2020-12-12,CAYUGA,2020-2021,36011,0
1181,2020-12-12,DUTCHESS,2020-2021,36027,6
1182,2020-12-12,ROCKLAND,2020-2021,36087,2
1183,2020-12-12,QUEENS,2020-2021,36081,9
1184,2020-12-12,TOMPKINS,2020-2021,36109,0
1185,2020-12-12,COLUMBIA,2020-2021,36021,0
1186,2020-12-12,CHEMUNG,2020-2021,36015,0
1187,2020-12-12,ORANGE,2020-2021,36071,0
1188,2020-12-12,WESTCHESTER,2020-2021,36119,10
1189,2020-12-12,LEWIS,2020-2021,36049,1
1190,2020-12-12,PUTNAM,2020-2021,36079,17
1191,2020-12-12,DELAWARE,2020-2021,36025,1
1192,2020-12-12,CATTARAUGUS,2020-2021,36009,0
1193,2020-12-12,OTSEGO,2020-2021,36077,2
1194,2020-12-12,SCHOHARIE,2020-2021,36095,1
1195,2020-12-12,TIOGA,2020-2021,36107,0
1196,2020-12-12,ST LAWRENCE,2020-2021,36089,0
1197,2020-12-12,ALBANY,2020-2021,36001,0
1198,2020-12-12,FRANKLIN,2020-2021,36033,0
1199,2020-12-12,YATES,2020-2021,36123,0
1200,2020-12-12,SULLIVAN,2020-2021,36105,2
1201,2020-12-12,ONEIDA,2020-2021,36065,2
1202,2020-12-12,ERIE,2020-2021,36029,19
1203,2020-12-12,HERKIMER,2020-2021,36043,2
1204,2020-12-12,RICHMOND,2020-2021,36085,7
1205,2020-12-12,SENECA,2020-2021,36099,0
1206,2020-12-12,CORTLAND,2020-2021,36023,2
1207,2020-12-12,NIAGARA,2020-2021,36063,1
1208,2020-12-12,STEUBEN,2020-2021,36101,0
1209,2020-12-12,FULTON,2020-2021,36035,0
1210,2020-12-12,SUFFOLK,2020-2021,36103,13
1211,2020-12-12,ULSTER,2020-2021,36111,1
1212,2020-12-12,KINGS,2020-2021,36047,18
1213,2020-12-12,OSWEGO,2020-2021,36075,1
1214,2020-12-12,MONTGOMERY,2020-2021,36057,0
1215,2020-12-12,GENESEE,2020-2021,36037,0
1216,2020-12-12,BROOME,2020-2021,36007,1
1217,2020-12-12,GREENE,2020-2021,36039,0
1218,2020-12-12,RENSSELAER,2020-2021,36083,0
1219,2020-12-12,LIVINGSTON,2020-2021,36051,0
1220,2020-12-12,SCHUYLER,2020-2021,36097,0
1221,2020-12-12,WARREN,2020-2021,36113,5
1222,2020-12-12,BRONX,2020-2021,36005,5
1223,2020-12-12,ONONDAGA,2020-2021,36067,1
1224,2020-12-12,MONROE,2020-2021,36055,1
1225,2020-12-12,WAYNE,2020-2021,36117,3
1226,2020-12-12,WYOMING,2020-2021,36121,0
1227,2020-12-12,NEW YORK,2020-2021,36061,2
1228,2020-12-12,ORLEANS,2020-2021,36073,0
1229,2020-12-12,NASSAU,2020-2021,36059,17
1230,2020-12-12,SARATOGA,2020-2021,36091,3
1231,2020-12-12,CLINTON,2020-2021,36019,1
1232,2020-12-12,ALLEGANY,2020-2021,36003,0
1233,2020-12-12,JEFFERSON,2020-2021,36045,9
1234,2020-12-12,HAMILTON,2020-2021,36041,0
1235,2020-12-12,MADISON,2020-2021,36053,3
1236,2020-12-12,CHENANGO,2020-2021,36017,1
1237,2020-12-12,ESSEX,2020-2021,36031,1
1238,2020-12-12,ONTARIO,2020-2021,36069,0
1239,2020-12-12,SCHENECTADY,2020-2021,36093,1
1240,2020-12-19,SUFFOLK,2020-2021,36103,23
1241,2020-12-19,ESSEX,2020-2021,36031,3
1242,2020-12-19,ST LAWRENCE,2020-2021,36089,1
1243,2020-12-19,ALLEGANY,2020-2021,36003,1
1244,2020-12-19,SULLIVAN,2020-2021,36105,0
1245,2020-12-19,STEUBEN,2020-2021,36101,0
1246,2020-12-19,OSWEGO,2020-2021,36075,1
1247,2020-12-19,HAMILTON,2020-2021,36041,0
1248,2020-12-19,NASSAU,2020-2021,36059,21
1249,2020-12-19,SCHUYLER,2020-2021,36097,2
1250,2020-12-19,KINGS,2020-2021,36047,22
1251,2020-12-19,NIAGARA,2020-2021,36063,8
1252,2020-12-19,MONROE,2020-2021,36055,8
1253,2020-12-19,FULTON,2020-2021,36035,0
1254,2020-12-19,PUTNAM,2020-2021,36079,28
1255,2020-12-19,ULSTER,2020-2021,36111,0
1256,2020-12-19,RENSSELAER,2020-2021,36083,6
1257,2020-12-19,RICHMOND,2020-2021,36085,4
1258,2020-12-19,CORTLAND,2020-2021,36023,0
1259,2020-12-19,CHEMUNG,2020-2021,36015,1
1260,2020-12-19,WESTCHESTER,2020-2021,36119,8
1261,2020-12-19,WARREN,2020-2021,36113,1
1262,2020-12-19,DELAWARE,2020-2021,36025,9
1263,2020-12-19,JEFFERSON,2020-2021,36045,34
1264,2020-12-19,CATTARAUGUS,2020-2021,36009,0
1265,2020-12-19,OTSEGO,2020-2021,36077,19
1266,2020-12-19,SCHOHARIE,2020-2021,36095,5
1267,2020-12-19,ORLEANS,2020-2021,36073,1
1268,2020-12-19,SCHENECTADY,2020-2021,36093,4
1269,2020-12-19,GREENE,2020-2021,36039,0
1270,2020-12-19,SARATOGA,2020-2021,36091,6
1271,2020-12-19,ALBANY,2020-2021,36001,2
1272,2020-12-19,YATES,2020-2021,36123,0
1273,2020-12-19,NEW YORK,2020-2021,36061,17
1274,2020-12-19,ONEIDA,2020-2021,36065,5
1275,2020-12-19,TIOGA,2020-2021,36107,0
1276,2020-12-19,MONTGOMERY,2020-2021,36057,0
1277,2020-12-19,ONONDAGA,2020-2021,36067,5
1278,2020-12-19,ERIE,2020-2021,36029,9
1279,2020-12-19,BRONX,2020-2021,36005,5
1280,2020-12-19,ORANGE,2020-2021,36071,1
1281,2020-12-19,HERKIMER,2020-2021,36043,1
1282,2020-12-19,SENECA,2020-2021,36099,2
1283,2020-12-19,FRANKLIN,2020-2021,36033,0
1284,2020-12-19,LEWIS,2020-2021,36049,1
1285,2020-12-19,CAYUGA,2020-2021,36011,1
1286,2020-12-19,COLUMBIA,2020-2021,36021,0
1287,2020-12-19,BROOME,2020-2021,36007,2
1288,2020-12-19,CHAUTAUQUA,2020-2021,36013,1
1289,2020-12-19,WYOMING,2020-2021,36121,0
1290,2020-12-19,LIVINGSTON,2020-2021,36051,0
1291,2020-12-19,ONTARIO,2020-2021,36069,0
1292,2020-12-19,CHENANGO,2020-2021,36017,5
1293,2020-12-19,CLINTON,2020-2021,36019,0
1294,2020-12-19,GENESEE,2020-2021,36037,0
1295,2020-12-19,WASHINGTON,2020-2021,36115,1
1296,2020-12-19,MADISON,2020-2021,36053,1
1297,2020-12-19,ROCKLAND,2020-2021,36087,4
1298,2020-12-19,QUEENS,2020-2021,36081,11
1299,2020-12-19,DUTCHESS,2020-2021,36027,14
1300,2020-12-19,TOMPKINS,2020-2021,36109,0
1301,2020-12-19,WAYNE,2020-2021,36117,0
1302,2020-12-26,DUTCHESS,2020-2021,36027,3
1303,2020-12-26,ONEIDA,2020-2021,36065,2
1304,2020-12-26,BROOME,2020-2021,36007,1
1305,2020-12-26,TIOGA,2020-2021,36107,0
1306,2020-12-26,ERIE,2020-2021,36029,5
1307,2020-12-26,SARATOGA,2020-2021,36091,2
1308,2020-12-26,TOMPKINS,2020-2021,36109,0
1309,2020-12-26,MADISON,2020-2021,36053,0
1310,2020-12-26,SENECA,2020-2021,36099,0
1311,2020-12-26,RICHMOND,2020-2021,36085,8
1312,2020-12-26,ONONDAGA,2020-2021,36067,4
1313,2020-12-26,BRONX,2020-2021,36005,4
1314,2020-12-26,LEWIS,2020-2021,36049,0
1315,2020-12-26,MONTGOMERY,2020-2021,36057,0
1316,2020-12-26,COLUMBIA,2020-2021,36021,0
1317,2020-12-26,SCHENECTADY,2020-2021,36093,1
1318,2020-12-26,ONTARIO,2020-2021,36069,0
1319,2020-12-26,RENSSELAER,2020-2021,36083,2
1320,2020-12-26,CHEMUNG,2020-2021,36015,0
1321,2020-12-26,WESTCHESTER,2020-2021,36119,6
1322,2020-12-26,NIAGARA,2020-2021,36063,0
1323,2020-12-26,WARREN,2020-2021,36113,2
1324,2020-12-26,DELAWARE,2020-2021,36025,1
1325,2020-12-26,JEFFERSON,2020-2021,36045,5
1326,2020-12-26,GENESEE,2020-2021,36037,2
1327,2020-12-26,CATTARAUGUS,2020-2021,36009,0
1328,2020-12-26,SCHOHARIE,2020-2021,36095,1
1329,2020-12-26,OTSEGO,2020-2021,36077,1
1330,2020-12-26,CLINTON,2020-2021,36019,0
1331,2020-12-26,ORLEANS,2020-2021,36073,0
1332,2020-12-26,LIVINGSTON,2020-2021,36051,0
1333,2020-12-26,GREENE,2020-2021,36039,0
1334,2020-12-26,CHAUTAUQUA,2020-2021,36013,0
1335,2020-12-26,ALBANY,2020-2021,36001,3
1336,2020-12-26,FRANKLIN,2020-2021,36033,0
1337,2020-12-26,WYOMING,2020-2021,36121,0
1338,2020-12-26,CORTLAND,2020-2021,36023,1
1339,2020-12-26,YATES,2020-2021,36123,0
1340,2020-12-26,NEW YORK,2020-2021,36061,14
1341,2020-12-26,WAYNE,2020-2021,36117,0
1342,2020-12-26,MONROE,2020-2021,36055,0
1343,2020-12-26,CAYUGA,2020-2021,36011,0
1344,2020-12-26,NASSAU,2020-2021,36059,15
1345,2020-12-26,HERKIMER,2020-2021,36043,5
1346,2020-12-26,CHENANGO,2020-2021,36017,1
1347,2020-12-26,PUTNAM,2020-2021,36079,22
1348,2020-12-26,KINGS,2020-2021,36047,22
1349,2020-12-26,OSWEGO,2020-2021,36075,0
1350,2020-12-26,ST LAWRENCE,2020-2021,36089,1
1351,2020-12-26,ROCKLAND,2020-2021,36087,2
1352,2020-12-26,ULSTER,2020-2021,36111,1
1353,2020-12-26,SULLIVAN,2020-2021,36105,3
1354,2020-12-26,STEUBEN,2020-2021,36101,0
1355,2020-12-26,QUEENS,2020-2021,36081,17
1356,2020-12-26,WASHINGTON,2020-2021,36115,3
1357,2020-12-26,SCHUYLER,2020-2021,36097,1
1358,2020-12-26,ESSEX,2020-2021,36031,3
1359,2020-12-26,ORANGE,2020-2021,36071,2
1360,2020-12-26,FULTON,2020-2021,36035,0
1361,2020-12-26,ALLEGANY,2020-2021,36003,0
1362,2020-12-26,HAMILTON,2020-2021,36041,1
1363,2020-12-26,SUFFOLK,2020-2021,36103,25
1364,2021-01-02,OSWEGO,2020-2021,36075,0
1365,2021-01-02,WAYNE,2020-2021,36117,0
1366,2021-01-02,KINGS,2020-2021,36047,34
1367,2021-01-02,ORLEANS,2020-2021,36073,0
1368,2021-01-02,ULSTER,2020-2021,36111,0
1369,2021-01-02,LIVINGSTON,2020-2021,36051,0
1370,2021-01-02,GREENE,2020-2021,36039,1
1371,2021-01-02,WASHINGTON,2020-2021,36115,1
1372,2021-01-02,CHAUTAUQUA,2020-2021,36013,4
1373,2021-01-02,BRONX,2020-2021,36005,5
1374,2021-01-02,CHENANGO,2020-2021,36017,0
1375,2021-01-02,HAMILTON,2020-2021,36041,0
1376,2021-01-02,RENSSELAER,2020-2021,36083,3
1377,2021-01-02,WESTCHESTER,2020-2021,36119,4
1378,2021-01-02,NIAGARA,2020-2021,36063,3
1379,2021-01-02,WARREN,2020-2021,36113,3
1380,2021-01-02,SULLIVAN,2020-2021,36105,1
1381,2021-01-02,OTSEGO,2020-2021,36077,6
1382,2021-01-02,DELAWARE,2020-2021,36025,3
1383,2021-01-02,DUTCHESS,2020-2021,36027,5
1384,2021-01-02,GENESEE,2020-2021,36037,0
1385,2021-01-02,SCHOHARIE,2020-2021,36095,1
1386,2021-01-02,JEFFERSON,2020-2021,36045,2
1387,2021-01-02,ORANGE,2020-2021,36071,0
1388,2021-01-02,CATTARAUGUS,2020-2021,36009,0
1389,2021-01-02,ALLEGANY,2020-2021,36003,2
1390,2021-01-02,ONTARIO,2020-2021,36069,2
1391,2021-01-02,ALBANY,2020-2021,36001,5
1392,2021-01-02,WYOMING,2020-2021,36121,0
1393,2021-01-02,CLINTON,2020-2021,36019,3
1394,2021-01-02,HERKIMER,2020-2021,36043,9
1395,2021-01-02,QUEENS,2020-2021,36081,6
1396,2021-01-02,ST LAWRENCE,2020-2021,36089,1
1397,2021-01-02,COLUMBIA,2020-2021,36021,0
1398,2021-01-02,SENECA,2020-2021,36099,0
1399,2021-01-02,SARATOGA,2020-2021,36091,0
1400,2021-01-02,ROCKLAND,2020-2021,36087,2
1401,2021-01-02,RICHMOND,2020-2021,36085,4
1402,2021-01-02,STEUBEN,2020-2021,36101,0
1403,2021-01-02,ESSEX,2020-2021,36031,5
1404,2021-01-02,BROOME,2020-2021,36007,1
1405,2021-01-02,CORTLAND,2020-2021,36023,1
1406,2021-01-02,CHEMUNG,2020-2021,36015,0
1407,2021-01-02,TOMPKINS,2020-2021,36109,0
1408,2021-01-02,NASSAU,2020-2021,36059,17
1409,2021-01-02,TIOGA,2020-2021,36107,0
1410,2021-01-02,MONTGOMERY,2020-2021,36057,1
1411,2021-01-02,LEWIS,2020-2021,36049,0
1412,2021-01-02,SCHUYLER,2020-2021,36097,1
1413,2021-01-02,ERIE,2020-2021,36029,1
1414,2021-01-02,MADISON,2020-2021,36053,3
1415,2021-01-02,FRANKLIN,2020-2021,36033,0
1416,2021-01-02,ONEIDA,2020-2021,36065,9
1417,2021-01-02,FULTON,2020-2021,36035,1
1418,2021-01-02,MONROE,2020-2021,36055,1
1419,2021-01-02,NEW YORK,2020-2021,36061,2
1420,2021-01-02,CAYUGA,2020-2021,36011,1
1421,2021-01-02,ONONDAGA,2020-2021,36067,3
1422,2021-01-02,SUFFOLK,2020-2021,36103,36
1423,2021-01-02,YATES,2020-2021,36123,0
1424,2021-01-02,SCHENECTADY,2020-2021,36093,7
1425,2021-01-02,PUTNAM,2020-2021,36079,21
1426,2021-01-09,PUTNAM,2020-2021,36079,6
1427,2021-01-09,QUEENS,2020-2021,36081,15
1428,2021-01-09,FRANKLIN,2020-2021,36033,0
1429,2021-01-09,ESSEX,2020-2021,36031,7
1430,2021-01-09,ERIE,2020-2021,36029,6
1431,2021-01-09,DUTCHESS,2020-2021,36027,3
1432,2021-01-09,RENSSELAER,2020-2021,36083,5
1433,2021-01-09,MONTGOMERY,2020-2021,36057,0
1434,2021-01-09,ALLEGANY,2020-2021,36003,0
1435,2021-01-09,CHAUTAUQUA,2020-2021,36013,0
1436,2021-01-09,COLUMBIA,2020-2021,36021,1
1437,2021-01-09,GENESEE,2020-2021,36037,1
1438,2021-01-09,LEWIS,2020-2021,36049,0
1439,2021-01-09,CAYUGA,2020-2021,36011,0
1440,2021-01-09,ST LAWRENCE,2020-2021,36089,7
1441,2021-01-09,CATTARAUGUS,2020-2021,36009,1
1442,2021-01-09,WYOMING,2020-2021,36121,1
1443,2021-01-09,CLINTON,2020-2021,36019,1
1444,2021-01-09,WAYNE,2020-2021,36117,0
1445,2021-01-09,NASSAU,2020-2021,36059,30
1446,2021-01-09,ONTARIO,2020-2021,36069,0
1447,2021-01-09,WESTCHESTER,2020-2021,36119,2
1448,2021-01-09,MONROE,2020-2021,36055,4
1449,2021-01-09,SARATOGA,2020-2021,36091,2
1450,2021-01-09,ONEIDA,2020-2021,36065,52
1451,2021-01-09,GREENE,2020-2021,36039,0
1452,2021-01-09,KINGS,2020-2021,36047,27
1453,2021-01-09,ORLEANS,2020-2021,36073,2
1454,2021-01-09,HERKIMER,2020-2021,36043,19
1455,2021-01-09,SCHENECTADY,2020-2021,36093,1
1456,2021-01-09,HAMILTON,2020-2021,36041,0
1457,2021-01-09,SENECA,2020-2021,36099,0
1458,2021-01-09,CHENANGO,2020-2021,36017,2
1459,2021-01-09,SUFFOLK,2020-2021,36103,35
1460,2021-01-09,ORANGE,2020-2021,36071,1
1461,2021-01-09,BROOME,2020-2021,36007,0
1462,2021-01-09,TOMPKINS,2020-2021,36109,0
1463,2021-01-09,MADISON,2020-2021,36053,2
1464,2021-01-09,TIOGA,2020-2021,36107,0
1465,2021-01-09,SCHUYLER,2020-2021,36097,0
1466,2021-01-09,DELAWARE,2020-2021,36025,0
1467,2021-01-09,ONONDAGA,2020-2021,36067,2
1468,2021-01-09,STEUBEN,2020-2021,36101,3
1469,2021-01-09,OTSEGO,2020-2021,36077,1
1470,2021-01-09,ALBANY,2020-2021,36001,3
1471,2021-01-09,WASHINGTON,2020-2021,36115,4
1472,2021-01-09,YATES,2020-2021,36123,0
1473,2021-01-09,RICHMOND,2020-2021,36085,1
1474,2021-01-09,WARREN,2020-2021,36113,4
1475,2021-01-09,JEFFERSON,2020-2021,36045,10
1476,2021-01-09,LIVINGSTON,2020-2021,36051,1
1477,2021-01-09,FULTON,2020-2021,36035,1
1478,2021-01-09,NEW YORK,2020-2021,36061,4
1479,2021-01-09,ULSTER,2020-2021,36111,1
1480,2021-01-09,BRONX,2020-2021,36005,6
1481,2021-01-09,CHEMUNG,2020-2021,36015,1
1482,2021-01-09,NIAGARA,2020-2021,36063,4
1483,2021-01-09,OSWEGO,2020-2021,36075,0
1484,2021-01-09,SULLIVAN,2020-2021,36105,1
1485,2021-01-09,ROCKLAND,2020-2021,36087,0
1486,2021-01-09,CORTLAND,2020-2021,36023,0
1487,2021-01-09,SCHOHARIE,2020-2021,36095,0
1488,2021-01-16,MONTGOMERY,2020-2021,36057,1
1489,2021-01-16,WYOMING,2020-2021,36121,1
1490,2021-01-16,CAYUGA,2020-2021,36011,0
1491,2021-01-16,SUFFOLK,2020-2021,36103,25
1492,2021-01-16,CHAUTAUQUA,2020-2021,36013,3
1493,2021-01-16,WESTCHESTER,2020-2021,36119,7
1494,2021-01-16,KINGS,2020-2021,36047,38
1495,2021-01-16,TIOGA,2020-2021,36107,0
1496,2021-01-16,STEUBEN,2020-2021,36101,0
1497,2021-01-16,WASHINGTON,2020-2021,36115,0
1498,2021-01-16,LIVINGSTON,2020-2021,36051,2
1499,2021-01-16,NEW YORK,2020-2021,36061,3
1500,2021-01-16,BRONX,2020-2021,36005,4
1501,2021-01-16,SENECA,2020-2021,36099,0
1502,2021-01-16,NIAGARA,2020-2021,36063,8
1503,2021-01-16,BROOME,2020-2021,36007,24
1504,2021-01-16,LEWIS,2020-2021,36049,1
1505,2021-01-16,ST LAWRENCE,2020-2021,36089,4
1506,2021-01-16,ERIE,2020-2021,36029,5
1507,2021-01-16,CATTARAUGUS,2020-2021,36009,1
1508,2021-01-16,ONEIDA,2020-2021,36065,89
1509,2021-01-16,WARREN,2020-2021,36113,3
1510,2021-01-16,QUEENS,2020-2021,36081,19
1511,2021-01-16,ONTARIO,2020-2021,36069,0
1512,2021-01-16,SCHUYLER,2020-2021,36097,0
1513,2021-01-16,DUTCHESS,2020-2021,36027,3
1514,2021-01-16,ALLEGANY,2020-2021,36003,0
1515,2021-01-16,COLUMBIA,2020-2021,36021,0
1516,2021-01-16,TOMPKINS,2020-2021,36109,0
1517,2021-01-16,ROCKLAND,2020-2021,36087,5
1518,2021-01-16,SULLIVAN,2020-2021,36105,1
1519,2021-01-16,OSWEGO,2020-2021,36075,1
1520,2021-01-16,RENSSELAER,2020-2021,36083,7
1521,2021-01-16,ULSTER,2020-2021,36111,0
1522,2021-01-16,CORTLAND,2020-2021,36023,3
1523,2021-01-16,RICHMOND,2020-2021,36085,2
1524,2021-01-16,YATES,2020-2021,36123,0
1525,2021-01-16,ALBANY,2020-2021,36001,1
1526,2021-01-16,FRANKLIN,2020-2021,36033,0
1527,2021-01-16,OTSEGO,2020-2021,36077,2
1528,2021-01-16,DELAWARE,2020-2021,36025,1
1529,2021-01-16,FULTON,2020-2021,36035,1
1530,2021-01-16,WAYNE,2020-2021,36117,0
1531,2021-01-16,GENESEE,2020-2021,36037,0
1532,2021-01-16,HERKIMER,2020-2021,36043,21
1533,2021-01-16,ONONDAGA,2020-2021,36067,3
1534,2021-01-16,JEFFERSON,2020-2021,36045,9
1535,2021-01-16,CHEMUNG,2020-2021,36015,0
1536,2021-01-16,MADISON,2020-2021,36053,1
1537,2021-01-16,ESSEX,2020-2021,36031,2
1538,2021-01-16,PUTNAM,2020-2021,36079,2
1539,2021-01-16,CLINTON,2020-2021,36019,4
1540,2021-01-16,SCHOHARIE,2020-2021,36095,1
1541,2021-01-16,ORANGE,2020-2021,36071,1
1542,2021-01-16,SCHENECTADY,2020-2021,36093,2
1543,2021-01-16,HAMILTON,2020-2021,36041,0
1544,2021-01-16,GREENE,2020-2021,36039,0
1545,2021-01-16,ORLEANS,2020-2021,36073,0
1546,2021-01-16,SARATOGA,2020-2021,36091,8
1547,2021-01-16,MONROE,2020-2021,36055,0
1548,2021-01-16,NASSAU,2020-2021,36059,18
1549,2021-01-16,CHENANGO,2020-2021,36017,1
1550,2021-01-23,ULSTER,2020-2021,36111,2
1551,2021-01-23,WARREN,2020-2021,36113,3
1552,2021-01-23,TOMPKINS,2020-2021,36109,0
1553,2021-01-23,WASHINGTON,2020-2021,36115,2
1554,2021-01-23,YATES,2020-2021,36123,0
1555,2021-01-23,WYOMING,2020-2021,36121,0
1556,2021-01-23,TIOGA,2020-2021,36107,0
1557,2021-01-23,WESTCHESTER,2020-2021,36119,2
1558,2021-01-23,WAYNE,2020-2021,36117,0
1559,2021-01-23,NIAGARA,2020-2021,36063,4
1560,2021-01-23,MADISON,2020-2021,36053,1
1561,2021-01-23,ROCKLAND,2020-2021,36087,0
1562,2021-01-23,ONTARIO,2020-2021,36069,0
1563,2021-01-23,GENESEE,2020-2021,36037,1
1564,2021-01-23,RICHMOND,2020-2021,36085,5
1565,2021-01-23,GREENE,2020-2021,36039,1
1566,2021-01-23,RENSSELAER,2020-2021,36083,2
1567,2021-01-23,HAMILTON,2020-2021,36041,0
1568,2021-01-23,HERKIMER,2020-2021,36043,8
1569,2021-01-23,QUEENS,2020-2021,36081,31
1570,2021-01-23,JEFFERSON,2020-2021,36045,3
1571,2021-01-23,KINGS,2020-2021,36047,27
1572,2021-01-23,PUTNAM,2020-2021,36079,1
1573,2021-01-23,FRANKLIN,2020-2021,36033,0
1574,2021-01-23,LEWIS,2020-2021,36049,2
1575,2021-01-23,OTSEGO,2020-2021,36077,2
1576,2021-01-23,SUFFOLK,2020-2021,36103,30
1577,2021-01-23,MONROE,2020-2021,36055,3
1578,2021-01-23,SULLIVAN,2020-2021,36105,3
1579,2021-01-23,ALBANY,2020-2021,36001,4
1580,2021-01-23,MONTGOMERY,2020-2021,36057,1
1581,2021-01-23,OSWEGO,2020-2021,36075,1
1582,2021-01-23,NASSAU,2020-2021,36059,18
1583,2021-01-23,ORLEANS,2020-2021,36073,0
1584,2021-01-23,NEW YORK,2020-2021,36061,4
1585,2021-01-23,ORANGE,2020-2021,36071,1
1586,2021-01-23,ONEIDA,2020-2021,36065,34
1587,2021-01-23,LIVINGSTON,2020-2021,36051,0
1588,2021-01-23,ESSEX,2020-2021,36031,4
1589,2021-01-23,FULTON,2020-2021,36035,0
1590,2021-01-23,CHEMUNG,2020-2021,36015,0
1591,2021-01-23,BRONX,2020-2021,36005,1
1592,2021-01-23,ALLEGANY,2020-2021,36003,0
1593,2021-01-23,BROOME,2020-2021,36007,2
1594,2021-01-23,STEUBEN,2020-2021,36101,1
1595,2021-01-23,CATTARAUGUS,2020-2021,36009,0
1596,2021-01-23,CAYUGA,2020-2021,36011,1
1597,2021-01-23,ST LAWRENCE,2020-2021,36089,0
1598,2021-01-23,CHAUTAUQUA,2020-2021,36013,1
1599,2021-01-23,SENECA,2020-2021,36099,1
1600,2021-01-23,ERIE,2020-2021,36029,9
1601,2021-01-23,CHENANGO,2020-2021,36017,1
1602,2021-01-23,SCHUYLER,2020-2021,36097,0
1603,2021-01-23,CLINTON,2020-2021,36019,3
1604,2021-01-23,ONONDAGA,2020-2021,36067,1
1605,2021-01-23,COLUMBIA,2020-2021,36021,2
1606,2021-01-23,SARATOGA,2020-2021,36091,1
1607,2021-01-23,SCHOHARIE,2020-2021,36095,1
1608,2021-01-23,CORTLAND,2020-2021,36023,1
1609,2021-01-23,DUTCHESS,2020-2021,36027,3
1610,2021-01-23,DELAWARE,2020-2021,36025,5
1611,2021-01-23,SCHENECTADY,2020-2021,36093,2
1612,2021-01-30,QUEENS,2020-2021,36081,19
1613,2021-01-30,ONTARIO,2020-2021,36069,1
1614,2021-01-30,TIOGA,2020-2021,36107,0
1615,2021-01-30,ORANGE,2020-2021,36071,2
1616,2021-01-30,STEUBEN,2020-2021,36101,1
1617,2021-01-30,ROCKLAND,2020-2021,36087,3
1618,2021-01-30,ORLEANS,2020-2021,36073,0
1619,2021-01-30,SARATOGA,2020-2021,36091,1
1620,2021-01-30,RICHMOND,2020-2021,36085,0
1621,2021-01-30,SCHOHARIE,2020-2021,36095,1
1622,2021-01-30,OSWEGO,2020-2021,36075,0
1623,2021-01-30,SCHENECTADY,2020-2021,36093,1
1624,2021-01-30,ULSTER,2020-2021,36111,0
1625,2021-01-30,SENECA,2020-2021,36099,0
1626,2021-01-30,RENSSELAER,2020-2021,36083,1
1627,2021-01-30,OTSEGO,2020-2021,36077,3
1628,2021-01-30,SCHUYLER,2020-2021,36097,0
1629,2021-01-30,PUTNAM,2020-2021,36079,0
1630,2021-01-30,ST LAWRENCE,2020-2021,36089,0
1631,2021-01-30,TOMPKINS,2020-2021,36109,0
1632,2021-01-30,MADISON,2020-2021,36053,1
1633,2021-01-30,ONEIDA,2020-2021,36065,0
1634,2021-01-30,ERIE,2020-2021,36029,7
1635,2021-01-30,DUTCHESS,2020-2021,36027,3
1636,2021-01-30,WESTCHESTER,2020-2021,36119,7
1637,2021-01-30,DELAWARE,2020-2021,36025,2
1638,2021-01-30,CORTLAND,2020-2021,36023,2
1639,2021-01-30,COLUMBIA,2020-2021,36021,0
1640,2021-01-30,CLINTON,2020-2021,36019,1
1641,2021-01-30,ESSEX,2020-2021,36031,8
1642,2021-01-30,CHENANGO,2020-2021,36017,0
1643,2021-01-30,WYOMING,2020-2021,36121,1
1644,2021-01-30,CHAUTAUQUA,2020-2021,36013,1
1645,2021-01-30,CAYUGA,2020-2021,36011,0
1646,2021-01-30,CATTARAUGUS,2020-2021,36009,2
1647,2021-01-30,BROOME,2020-2021,36007,3
1648,2021-01-30,ALLEGANY,2020-2021,36003,0
1649,2021-01-30,BRONX,2020-2021,36005,7
1650,2021-01-30,CHEMUNG,2020-2021,36015,0
1651,2021-01-30,ONONDAGA,2020-2021,36067,2
1652,2021-01-30,FRANKLIN,2020-2021,36033,0
1653,2021-01-30,GENESEE,2020-2021,36037,0
1654,2021-01-30,WARREN,2020-2021,36113,1
1655,2021-01-30,NIAGARA,2020-2021,36063,2
1656,2021-01-30,NEW YORK,2020-2021,36061,53
1657,2021-01-30,NASSAU,2020-2021,36059,14
1658,2021-01-30,YATES,2020-2021,36123,0
1659,2021-01-30,MONTGOMERY,2020-2021,36057,1
1660,2021-01-30,ALBANY,2020-2021,36001,0
1661,2021-01-30,FULTON,2020-2021,36035,3
1662,2021-01-30,WASHINGTON,2020-2021,36115,1
1663,2021-01-30,LEWIS,2020-2021,36049,0
1664,2021-01-30,KINGS,2020-2021,36047,37
1665,2021-01-30,JEFFERSON,2020-2021,36045,11
1666,2021-01-30,HERKIMER,2020-2021,36043,4
1667,2021-01-30,HAMILTON,2020-2021,36041,0
