,Week Ending Date,County,Season,FIPS,Count
117,2020-02-22,SARATOGA,2019-2020,36091,284
118,2020-02-22,GREENE,2019-2020,36039,20
119,2020-02-22,STEUBEN,2019-2020,36101,85
120,2020-02-22,MONTGOMERY,2019-2020,36057,61
121,2020-02-22,CORTLAND,2019-2020,36023,75
122,2020-02-22,CAYUGA,2019-2020,36011,75
123,2020-02-22,ST LAWRENCE,2019-2020,36089,327
124,2020-02-29,JEFFERSON,2019-2020,36045,202
125,2020-02-29,COLUMBIA,2019-2020,36021,5
126,2020-02-29,MADISON,2019-2020,36053,45
127,2020-02-29,ONEIDA,2019-2020,36065,178
128,2020-02-29,RENSSELAER,2019-2020,36083,103
129,2020-02-29,SCHUYLER,2019-2020,36097,21
130,2020-02-29,NIAGARA,2019-2020,36063,51
131,2020-02-29,ALLEGANY,2019-2020,36003,41
132,2020-02-29,ONONDAGA,2019-2020,36067,414
133,2020-02-29,STEUBEN,2019-2020,36101,95
134,2020-02-29,ULSTER,2019-2020,36111,36
135,2020-02-29,QUEENS,2019-2020,36081,756
136,2020-02-29,WYOMING,2019-2020,36121,31
137,2020-02-29,LEWIS,2019-2020,36049,29
138,2020-02-29,ALBANY,2019-2020,36001,139
139,2020-02-29,TIOGA,2019-2020,36107,75
140,2020-02-29,LIVINGSTON,2019-2020,36051,30
141,2020-02-29,CHAUTAUQUA,2019-2020,36013,41
142,2020-02-29,BRONX,2019-2020,36005,740
143,2020-02-29,MONTGOMERY,2019-2020,36057,40
144,2020-02-29,OTSEGO,2019-2020,36077,29
145,2020-02-29,CATTARAUGUS,2019-2020,36009,38
146,2020-02-29,CHEMUNG,2019-2020,36015,123
147,2020-02-29,WAYNE,2019-2020,36117,51
148,2020-02-29,OSWEGO,2019-2020,36075,89
149,2020-02-29,DUTCHESS,2019-2020,36027,61
150,2020-02-29,NEW YORK,2019-2020,36061,406
151,2020-02-29,ERIE,2019-2020,36029,312
152,2020-02-29,FRANKLIN,2019-2020,36033,51
153,2020-02-29,GREENE,2019-2020,36039,13
154,2020-02-29,SARATOGA,2019-2020,36091,364
155,2020-02-29,YATES,2019-2020,36123,8
156,2020-02-29,SULLIVAN,2019-2020,36105,25
157,2020-02-29,DELAWARE,2019-2020,36025,19
158,2020-02-29,BROOME,2019-2020,36007,227
159,2020-02-29,CHENANGO,2019-2020,36017,36
160,2020-02-29,CAYUGA,2019-2020,36011,65
161,2020-02-29,TOMPKINS,2019-2020,36109,100
162,2020-02-29,SCHOHARIE,2019-2020,36095,12
163,2020-02-29,RICHMOND,2019-2020,36085,92
164,2020-02-29,MONROE,2019-2020,36055,332
165,2020-02-29,KINGS,2019-2020,36047,706
166,2020-02-29,WASHINGTON,2019-2020,36115,22
167,2020-02-29,ESSEX,2019-2020,36031,28
168,2020-02-29,HAMILTON,2019-2020,36041,1
169,2020-02-29,HERKIMER,2019-2020,36043,44
170,2020-02-29,NASSAU,2019-2020,36059,267
171,2020-02-29,ST LAWRENCE,2019-2020,36089,277
172,2020-02-29,PUTNAM,2019-2020,36079,28
173,2020-02-29,ROCKLAND,2019-2020,36087,115
174,2020-02-29,WESTCHESTER,2019-2020,36119,277
175,2020-02-29,WARREN,2019-2020,36113,12
176,2020-02-29,SCHENECTADY,2019-2020,36093,394
177,2020-02-29,FULTON,2019-2020,36035,40
178,2020-02-29,CLINTON,2019-2020,36019,58
179,2020-02-29,GENESEE,2019-2020,36037,37
180,2020-02-29,ORLEANS,2019-2020,36073,23
181,2020-02-29,ONTARIO,2019-2020,36069,60
182,2020-02-29,SENECA,2019-2020,36099,15
183,2020-02-29,ORANGE,2019-2020,36071,160
184,2020-02-29,SUFFOLK,2019-2020,36103,293
185,2020-02-29,CORTLAND,2019-2020,36023,75
186,2020-03-07,FRANKLIN,2019-2020,36033,66
187,2020-03-07,SUFFOLK,2019-2020,36103,326
188,2020-03-07,KINGS,2019-2020,36047,671
189,2020-03-07,ULSTER,2019-2020,36111,30
190,2020-03-07,WASHINGTON,2019-2020,36115,12
