Week Ending Date,County,Season,FIPS,Count
2020-02-29,ONEIDA,2019-2020,36065,178
2020-02-29,RENSSELAER,2019-2020,36083,103
2020-02-29,SCHUYLER,2019-2020,36097,21
2020-02-29,NIAGARA,2019-2020,36063,51
2020-02-29,ALLEGANY,2019-2020,36003,41
2020-02-29,ONONDAGA,2019-2020,36067,414
2020-02-29,STEUBEN,2019-2020,36101,95
2020-02-29,ULSTER,2019-2020,36111,36
2020-02-29,QUEENS,2019-2020,36081,756
2020-02-29,WYOMING,2019-2020,36121,31
2020-02-29,LEWIS,2019-2020,36049,29
2020-02-29,ALBANY,2019-2020,36001,139
2020-02-29,TIOGA,2019-2020,36107,75
2020-02-29,LIVINGSTON,2019-2020,36051,30
2020-02-29,CHAUTAUQUA,2019-2020,36013,41
2020-02-29,BRONX,2019-2020,36005,740
2020-02-29,MONTGOMERY,2019-2020,36057,40
2020-02-29,OTSEGO,2019-2020,36077,29
2020-02-29,CATTARAUGUS,2019-2020,36009,38
2020-02-29,CHEMUNG,2019-2020,36015,123
2020-02-29,WAYNE,2019-2020,36117,51
2020-02-29,OSWEGO,2019-2020,36075,89
2020-02-29,DUTCHESS,2019-2020,36027,61
2020-02-29,NEW YORK,2019-2020,36061,406
2020-02-29,ERIE,2019-2020,36029,312
2020-02-29,FRANKLIN,2019-2020,36033,51
2020-02-29,GREENE,2019-2020,36039,13
2020-02-29,SARATOGA,2019-2020,36091,364
2020-02-29,YATES,2019-2020,36123,8
2020-02-29,SULLIVAN,2019-2020,36105,25
2020-02-29,DELAWARE,2019-2020,36025,19
2020-02-29,BROOME,2019-2020,36007,227
2020-02-29,CHENANGO,2019-2020,36017,36
2020-02-29,CAYUGA,2019-2020,36011,65
2020-02-29,TOMPKINS,2019-2020,36109,100
2020-02-29,SCHOHARIE,2019-2020,36095,12
2020-02-29,RICHMOND,2019-2020,36085,92
2020-02-29,MONROE,2019-2020,36055,332
2020-02-29,KINGS,2019-2020,36047,706
2020-02-29,WASHINGTON,2019-2020,36115,22
2020-02-29,ESSEX,2019-2020,36031,28
2020-02-29,HAMILTON,2019-2020,36041,1
2020-02-29,HERKIMER,2019-2020,36043,44
2020-02-29,NASSAU,2019-2020,36059,267
2020-02-29,ST LAWRENCE,2019-2020,36089,277
2020-02-29,PUTNAM,2019-2020,36079,28
2020-02-29,ROCKLAND,2019-2020,36087,115
2020-02-29,WESTCHESTER,2019-2020,36119,277
2020-02-29,WARREN,2019-2020,36113,12
2020-02-29,SCHENECTADY,2019-2020,36093,394
2020-02-29,FULTON,2019-2020,36035,40
2020-02-29,CLINTON,2019-2020,36019,58
2020-02-29,GENESEE,2019-2020,36037,37
2020-02-29,ORLEANS,2019-2020,36073,23
2020-02-29,ONTARIO,2019-2020,36069,60
2020-02-29,SENECA,2019-2020,36099,15
2020-02-29,ORANGE,2019-2020,36071,160
2020-02-29,SUFFOLK,2019-2020,36103,293
2020-02-29,CORTLAND,2019-2020,36023,75
2020-03-07,FRANKLIN,2019-2020,36033,66
2020-03-07,SUFFOLK,2019-2020,36103,326
2020-03-07,KINGS,2019-2020,36047,671
2020-03-07,ULSTER,2019-2020,36111,30
2020-03-07,WASHINGTON,2019-2020,36115,12
2020-03-07,HERKIMER,2019-2020,36043,70
2020-03-07,ERIE,2019-2020,36029,240
2020-03-07,ALLEGANY,2019-2020,36003,49
2020-03-07,NASSAU,2019-2020,36059,292
2020-03-07,CORTLAND,2019-2020,36023,74
2020-03-07,RICHMOND,2019-2020,36085,105
2020-03-07,CHENANGO,2019-2020,36017,44
2020-03-07,SCHUYLER,2019-2020,36097,22
2020-03-07,COLUMBIA,2019-2020,36021,12
2020-03-07,OSWEGO,2019-2020,36075,77
2020-03-07,GREENE,2019-2020,36039,3
2020-03-07,SENECA,2019-2020,36099,26
2020-03-07,SARATOGA,2019-2020,36091,135
2020-03-07,MONTGOMERY,2019-2020,36057,43
2020-03-07,QUEENS,2019-2020,36081,623
2020-03-07,WESTCHESTER,2019-2020,36119,300
2020-03-07,ONEIDA,2019-2020,36065,237
2020-03-07,ORANGE,2019-2020,36071,125
2020-03-07,YATES,2019-2020,36123,30
2020-03-07,CATTARAUGUS,2019-2020,36009,31
2020-03-07,NEW YORK,2019-2020,36061,357
2020-03-07,BROOME,2019-2020,36007,224
2020-03-07,RENSSELAER,2019-2020,36083,23
2020-03-07,JEFFERSON,2019-2020,36045,123
2020-03-07,LIVINGSTON,2019-2020,36051,35
2020-03-07,ROCKLAND,2019-2020,36087,105
2020-03-07,FULTON,2019-2020,36035,51
2020-03-07,ORLEANS,2019-2020,36073,24
2020-03-07,DUTCHESS,2019-2020,36027,52
2020-03-07,TOMPKINS,2019-2020,36109,63
2020-03-07,SULLIVAN,2019-2020,36105,25
2020-03-07,CHAUTAUQUA,2019-2020,36013,37
2020-03-07,BRONX,2019-2020,36005,657
2020-03-07,CLINTON,2019-2020,36019,62
2020-03-07,CHEMUNG,2019-2020,36015,110
2020-03-07,GENESEE,2019-2020,36037,32
2020-03-07,DELAWARE,2019-2020,36025,26
2020-03-07,NIAGARA,2019-2020,36063,39
2020-03-07,OTSEGO,2019-2020,36077,41
2020-03-07,CAYUGA,2019-2020,36011,62
2020-03-07,MADISON,2019-2020,36053,43
2020-03-07,WARREN,2019-2020,36113,11
2020-03-07,PUTNAM,2019-2020,36079,25
2020-03-07,SCHENECTADY,2019-2020,36093,59
2020-03-07,SCHOHARIE,2019-2020,36095,22
2020-03-07,ONONDAGA,2019-2020,36067,335
2020-03-07,ST LAWRENCE,2019-2020,36089,129
2020-03-07,TIOGA,2019-2020,36107,50
2020-03-07,HAMILTON,2019-2020,36041,1
2020-03-07,MONROE,2019-2020,36055,343
2020-03-07,WAYNE,2019-2020,36117,65
2020-03-07,WYOMING,2019-2020,36121,17
2020-03-07,STEUBEN,2019-2020,36101,76
2020-03-07,ONTARIO,2019-2020,36069,63
2020-03-07,ESSEX,2019-2020,36031,11
2020-03-07,ALBANY,2019-2020,36001,99
2020-03-07,LEWIS,2019-2020,36049,23
2020-03-14,CORTLAND,2019-2020,36023,70
2020-03-14,LEWIS,2019-2020,36049,17
2020-03-14,TIOGA,2019-2020,36107,43
2020-03-14,ONTARIO,2019-2020,36069,57
2020-03-14,ORANGE,2019-2020,36071,118
2020-03-14,RENSSELAER,2019-2020,36083,39
2020-03-14,FRANKLIN,2019-2020,36033,52
2020-03-14,WESTCHESTER,2019-2020,36119,308
2020-03-14,LIVINGSTON,2019-2020,36051,30
2020-03-14,CHEMUNG,2019-2020,36015,81
2020-03-14,FULTON,2019-2020,36035,36
2020-03-14,JEFFERSON,2019-2020,36045,71
2020-03-14,HERKIMER,2019-2020,36043,46
2020-03-14,HAMILTON,2019-2020,36041,3
2020-03-14,WASHINGTON,2019-2020,36115,19
2020-03-14,WAYNE,2019-2020,36117,53
2020-03-14,ULSTER,2019-2020,36111,31
2020-03-14,ESSEX,2019-2020,36031,19
2020-03-14,RICHMOND,2019-2020,36085,88
2020-03-14,CHENANGO,2019-2020,36017,39
2020-03-14,STEUBEN,2019-2020,36101,47
2020-03-14,MADISON,2019-2020,36053,34
2020-03-14,SCHOHARIE,2019-2020,36095,9
2020-03-14,DELAWARE,2019-2020,36025,18
