Week Ending Date,County,Season,FIPS,Count
2020-12-19,ALLEGANY,2020-2021,36003,1
2020-12-19,SULLIVAN,2020-2021,36105,0
2020-12-19,STEUBEN,2020-2021,36101,0
2020-12-19,OSWEGO,2020-2021,36075,1
2020-12-19,HAMILTON,2020-2021,36041,0
2020-12-19,NASSAU,2020-2021,36059,21
2020-12-19,SCHUYLER,2020-2021,36097,2
2020-12-19,KINGS,2020-2021,36047,22
2020-12-19,NIAGARA,2020-2021,36063,8
2020-12-19,MONROE,2020-2021,36055,8
2020-12-19,FULTON,2020-2021,36035,0
2020-12-19,PUTNAM,2020-2021,36079,28
2020-12-19,ULSTER,2020-2021,36111,0
2020-12-19,RENSSELAER,2020-2021,36083,6
2020-12-19,RICHMOND,2020-2021,36085,4
2020-12-19,CORTLAND,2020-2021,36023,0
2020-12-19,CHEMUNG,2020-2021,36015,1
2020-12-19,WESTCHESTER,2020-2021,36119,8
2020-12-19,WARREN,2020-2021,36113,1
2020-12-19,DELAWARE,2020-2021,36025,9
2020-12-19,JEFFERSON,2020-2021,36045,34
2020-12-19,CATTARAUGUS,2020-2021,36009,0
2020-12-19,OTSEGO,2020-2021,36077,19
2020-12-19,SCHOHARIE,2020-2021,36095,5
2020-12-19,ORLEANS,2020-2021,36073,1
2020-12-19,SCHENECTADY,2020-2021,36093,4
2020-12-19,GREENE,2020-2021,36039,0
2020-12-19,SARATOGA,2020-2021,36091,6
2020-12-19,ALBANY,2020-2021,36001,2
2020-12-19,YATES,2020-2021,36123,0
2020-12-19,NEW YORK,2020-2021,36061,17
2020-12-19,ONEIDA,2020-2021,36065,5
2020-12-19,TIOGA,2020-2021,36107,0
2020-12-19,MONTGOMERY,2020-2021,36057,0
2020-12-19,ONONDAGA,2020-2021,36067,5
2020-12-19,ERIE,2020-2021,36029,9
2020-12-19,BRONX,2020-2021,36005,5
2020-12-19,ORANGE,2020-2021,36071,1
2020-12-19,HERKIMER,2020-2021,36043,1
2020-12-19,SENECA,2020-2021,36099,2
2020-12-19,FRANKLIN,2020-2021,36033,0
2020-12-19,LEWIS,2020-2021,36049,1
2020-12-19,CAYUGA,2020-2021,36011,1
2020-12-19,COLUMBIA,2020-2021,36021,0
2020-12-19,BROOME,2020-2021,36007,2
2020-12-19,CHAUTAUQUA,2020-2021,36013,1
2020-12-19,WYOMING,2020-2021,36121,0
2020-12-19,LIVINGSTON,2020-2021,36051,0
2020-12-19,ONTARIO,2020-2021,36069,0
2020-12-19,CHENANGO,2020-2021,36017,5
2020-12-19,CLINTON,2020-2021,36019,0
2020-12-19,GENESEE,2020-2021,36037,0
2020-12-19,WASHINGTON,2020-2021,36115,1
2020-12-19,MADISON,2020-2021,36053,1
2020-12-19,ROCKLAND,2020-2021,36087,4
2020-12-19,QUEENS,2020-2021,36081,11
2020-12-19,DUTCHESS,2020-2021,36027,14
2020-12-19,TOMPKINS,2020-2021,36109,0
2020-12-19,WAYNE,2020-2021,36117,0
2020-12-26,DUTCHESS,2020-2021,36027,3
2020-12-26,ONEIDA,2020-2021,36065,2
2020-12-26,BROOME,2020-2021,36007,1
2020-12-26,TIOGA,2020-2021,36107,0
2020-12-26,ERIE,2020-2021,36029,5
2020-12-26,SARATOGA,2020-2021,36091,2
2020-12-26,TOMPKINS,2020-2021,36109,0
2020-12-26,MADISON,2020-2021,36053,0
2020-12-26,SENECA,2020-2021,36099,0
2020-12-26,RICHMOND,2020-2021,36085,8
2020-12-26,ONONDAGA,2020-2021,36067,4
2020-12-26,BRONX,2020-2021,36005,4
2020-12-26,LEWIS,2020-2021,36049,0
2020-12-26,MONTGOMERY,2020-2021,36057,0
2020-12-26,COLUMBIA,2020-2021,36021,0
2020-12-26,SCHENECTADY,2020-2021,36093,1
2020-12-26,ONTARIO,2020-2021,36069,0
2020-12-26,RENSSELAER,2020-2021,36083,2
2020-12-26,CHEMUNG,2020-2021,36015,0
2020-12-26,WESTCHESTER,2020-2021,36119,6
2020-12-26,NIAGARA,2020-2021,36063,0
2020-12-26,WARREN,2020-2021,36113,2
2020-12-26,DELAWARE,2020-2021,36025,1
2020-12-26,JEFFERSON,2020-2021,36045,5
2020-12-26,GENESEE,2020-2021,36037,2
2020-12-26,CATTARAUGUS,2020-2021,36009,0
2020-12-26,SCHOHARIE,2020-2021,36095,1
2020-12-26,OTSEGO,2020-2021,36077,1
2020-12-26,CLINTON,2020-2021,36019,0
2020-12-26,ORLEANS,2020-2021,36073,0
2020-12-26,LIVINGSTON,2020-2021,36051,0
2020-12-26,GREENE,2020-2021,36039,0
2020-12-26,CHAUTAUQUA,2020-2021,36013,0
2020-12-26,ALBANY,2020-2021,36001,3
2020-12-26,FRANKLIN,2020-2021,36033,0
2020-12-26,WYOMING,2020-2021,36121,0
2020-12-26,CORTLAND,2020-2021,36023,1
2020-12-26,YATES,2020-2021,36123,0
2020-12-26,NEW YORK,2020-2021,36061,14
2020-12-26,WAYNE,2020-2021,36117,0
2020-12-26,MONROE,2020-2021,36055,0
2020-12-26,CAYUGA,2020-2021,36011,0
2020-12-26,NASSAU,2020-2021,36059,15
2020-12-26,HERKIMER,2020-2021,36043,5
2020-12-26,CHENANGO,2020-2021,36017,1
2020-12-26,PUTNAM,2020-2021,36079,22
2020-12-26,KINGS,2020-2021,36047,22
2020-12-26,OSWEGO,2020-2021,36075,0
2020-12-26,ST LAWRENCE,2020-2021,36089,1
2020-12-26,ROCKLAND,2020-2021,36087,2
2020-12-26,ULSTER,2020-2021,36111,1
2020-12-26,SULLIVAN,2020-2021,36105,3
2020-12-26,STEUBEN,2020-2021,36101,0
2020-12-26,QUEENS,2020-2021,36081,17
2020-12-26,WASHINGTON,2020-2021,36115,3
2020-12-26,SCHUYLER,2020-2021,36097,1
2020-12-26,ESSEX,2020-2021,36031,3
2020-12-26,ORANGE,2020-2021,36071,2
2020-12-26,FULTON,2020-2021,36035,0
2020-12-26,ALLEGANY,2020-2021,36003,0
2020-12-26,HAMILTON,2020-2021,36041,1
2020-12-26,SUFFOLK,2020-2021,36103,25
2021-01-02,OSWEGO,2020-2021,36075,0
2021-01-02,WAYNE,2020-2021,36117,0
2021-01-02,KINGS,2020-2021,36047,34
2021-01-02,ORLEANS,2020-2021,36073,0
2021-01-02,ULSTER,2020-2021,36111,0
2021-01-02,LIVINGSTON,2020-2021,36051,0
2021-01-02,GREENE,2020-2021,36039,1
2021-01-02,WASHINGTON,2020-2021,36115,1
2021-01-02,CHAUTAUQUA,2020-2021,36013,4
2021-01-02,BRONX,2020-2021,36005,5
2021-01-02,CHENANGO,2020-2021,36017,0
2021-01-02,HAMILTON,2020-2021,36041,0
2021-01-02,RENSSELAER,2020-2021,36083,3
2021-01-02,WESTCHESTER,2020-2021,36119,4
2021-01-02,NIAGARA,2020-2021,36063,3
2021-01-02,WARREN,2020-2021,36113,3
2021-01-02,SULLIVAN,2020-2021,36105,1
2021-01-02,OTSEGO,2020-2021,36077,6
2021-01-02,DELAWARE,2020-2021,36025,3
2021-01-02,DUTCHESS,2020-2021,36027,5
2021-01-02,GENESEE,2020-2021,36037,0
2021-01-02,SCHOHARIE,2020-2021,36095,1
2021-01-02,JEFFERSON,2020-2021,36045,2
2021-01-02,ORANGE,2020-2021,36071,0
2021-01-02,CATTARAUGUS,2020-2021,36009,0
2021-01-02,ALLEGANY,2020-2021,36003,2
2021-01-02,ONTARIO,2020-2021,36069,2
2021-01-02,ALBANY,2020-2021,36001,5
2021-01-02,WYOMING,2020-2021,36121,0
2021-01-02,CLINTON,2020-2021,36019,3
2021-01-02,HERKIMER,2020-2021,36043,9
2021-01-02,QUEENS,2020-2021,36081,6
2021-01-02,ST LAWRENCE,2020-2021,36089,1
2021-01-02,COLUMBIA,2020-2021,36021,0
2021-01-02,SENECA,2020-2021,36099,0
2021-01-02,SARATOGA,2020-2021,36091,0
2021-01-02,ROCKLAND,2020-2021,36087,2
2021-01-02,RICHMOND,2020-2021,36085,4
2021-01-02,STEUBEN,2020-2021,36101,0
2021-01-02,ESSEX,2020-2021,36031,5
2021-01-02,BROOME,2020-2021,36007,1
2021-01-02,CORTLAND,2020-2021,36023,1
2021-01-02,CHEMUNG,2020-2021,36015,0
2021-01-02,TOMPKINS,2020-2021,36109,0
2021-01-02,NASSAU,2020-2021,36059,17
2021-01-02,TIOGA,2020-2021,36107,0
2021-01-02,MONTGOMERY,2020-2021,36057,1
2021-01-02,LEWIS,2020-2021,36049,0
2021-01-02,SCHUYLER,2020-2021,36097,1
2021-01-02,ERIE,2020-2021,36029,1
2021-01-02,MADISON,2020-2021,36053,3
2021-01-02,FRANKLIN,2020-2021,36033,0
2021-01-02,ONEIDA,2020-2021,36065,9
2021-01-02,FULTON,2020-2021,36035,1
2021-01-02,MONROE,2020-2021,36055,1
2021-01-02,NEW YORK,2020-2021,36061,2
2021-01-02,CAYUGA,2020-2021,36011,1
2021-01-02,ONONDAGA,2020-2021,36067,3
2021-01-02,SUFFOLK,2020-2021,36103,36
2021-01-02,YATES,2020-2021,36123,0
2021-01-02,SCHENECTADY,2020-2021,36093,7
2021-01-02,PUTNAM,2020-2021,36079,21
2021-01-09,PUTNAM,2020-2021,36079,6
2021-01-09,QUEENS,2020-2021,36081,15
2021-01-09,FRANKLIN,2020-2021,36033,0
2021-01-09,ESSEX,2020-2021,36031,7
2021-01-09,ERIE,2020-2021,36029,6
2021-01-09,DUTCHESS,2020-2021,36027,3
2021-01-09,RENSSELAER,2020-2021,36083,5
2021-01-09,MONTGOMERY,2020-2021,36057,0
2021-01-09,ALLEGANY,2020-2021,36003,0
2021-01-09,CHAUTAUQUA,2020-2021,36013,0
2021-01-09,COLUMBIA,2020-2021,36021,1
2021-01-09,GENESEE,2020-2021,36037,1
2021-01-09,LEWIS,2020-2021,36049,0
2021-01-09,CAYUGA,2020-2021,36011,0
2021-01-09,ST LAWRENCE,2020-2021,36089,7
2021-01-09,CATTARAUGUS,2020-2021,36009,1
2021-01-09,WYOMING,2020-2021,36121,1
2021-01-09,CLINTON,2020-2021,36019,1
2021-01-09,WAYNE,2020-2021,36117,0
2021-01-09,NASSAU,2020-2021,36059,30
2021-01-09,ONTARIO,2020-2021,36069,0
2021-01-09,WESTCHESTER,2020-2021,36119,2
2021-01-09,MONROE,2020-2021,36055,4
2021-01-09,SARATOGA,2020-2021,36091,2
2021-01-09,ONEIDA,2020-2021,36065,52
2021-01-09,GREENE,2020-2021,36039,0
2021-01-09,KINGS,2020-2021,36047,27
2021-01-09,ORLEANS,2020-2021,36073,2
2021-01-09,HERKIMER,2020-2021,36043,19
2021-01-09,SCHENECTADY,2020-2021,36093,1
2021-01-09,HAMILTON,2020-2021,36041,0
2021-01-09,SENECA,2020-2021,36099,0
2021-01-09,CHENANGO,2020-2021,36017,2
2021-01-09,SUFFOLK,2020-2021,36103,35
2021-01-09,ORANGE,2020-2021,36071,1
2021-01-09,BROOME,2020-2021,36007,0
2021-01-09,TOMPKINS,2020-2021,36109,0
2021-01-09,MADISON,2020-2021,36053,2
2021-01-09,TIOGA,2020-2021,36107,0
2021-01-09,SCHUYLER,2020-2021,36097,0
2021-01-09,DELAWARE,2020-2021,36025,0
2021-01-09,ONONDAGA,2020-2021,36067,2
2021-01-09,STEUBEN,2020-2021,36101,3
2021-01-09,OTSEGO,2020-2021,36077,1
2021-01-09,ALBANY,2020-2021,36001,3
2021-01-09,WASHINGTON,2020-2021,36115,4
2021-01-09,YATES,2020-2021,36123,0
2021-01-09,RICHMOND,2020-2021,36085,1
2021-01-09,WARREN,2020-2021,36113,4
2021-01-09,JEFFERSON,2020-2021,36045,10
2021-01-09,LIVINGSTON,2020-2021,36051,1
2021-01-09,FULTON,2020-2021,36035,1
2021-01-09,NEW YORK,2020-2021,36061,4
2021-01-09,ULSTER,2020-2021,36111,1
2021-01-09,BRONX,2020-2021,36005,6
2021-01-09,CHEMUNG,2020-2021,36015,1
2021-01-09,NIAGARA,2020-2021,36063,4
2021-01-09,OSWEGO,2020-2021,36075,0
2021-01-09,SULLIVAN,2020-2021,36105,1
2021-01-09,ROCKLAND,2020-2021,36087,0
2021-01-09,CORTLAND,2020-2021,36023,0
2021-01-09,SCHOHARIE,2020-2021,36095,0
2021-01-16,MONTGOMERY,2020-2021,36057,1
2021-01-16,WYOMING,2020-2021,36121,1
2021-01-16,CAYUGA,2020-2021,36011,0
2021-01-16,SUFFOLK,2020-2021,36103,25
2021-01-16,CHAUTAUQUA,2020-2021,36013,3
2021-01-16,WESTCHESTER,2020-2021,36119,7
2021-01-16,KINGS,2020-2021,36047,38
2021-01-16,TIOGA,2020-2021,36107,0
2021-01-16,STEUBEN,2020-2021,36101,0
2021-01-16,WASHINGTON,2020-2021,36115,0
2021-01-16,LIVINGSTON,2020-2021,36051,2
2021-01-16,NEW YORK,2020-2021,36061,3
2021-01-16,BRONX,2020-2021,36005,4
2021-01-16,SENECA,2020-2021,36099,0
2021-01-16,NIAGARA,2020-2021,36063,8
2021-01-16,BROOME,2020-2021,36007,24
2021-01-16,LEWIS,2020-2021,36049,1
2021-01-16,ST LAWRENCE,2020-2021,36089,4
2021-01-16,ERIE,2020-2021,36029,5
2021-01-16,CATTARAUGUS,2020-2021,36009,1
2021-01-16,ONEIDA,2020-2021,36065,89
2021-01-16,WARREN,2020-2021,36113,3
2021-01-16,QUEENS,2020-2021,36081,19
2021-01-16,ONTARIO,2020-2021,36069,0
2021-01-16,SCHUYLER,2020-2021,36097,0
2021-01-16,DUTCHESS,2020-2021,36027,3
2021-01-16,ALLEGANY,2020-2021,36003,0
2021-01-16,COLUMBIA,2020-2021,36021,0
2021-01-16,TOMPKINS,2020-2021,36109,0
2021-01-16,ROCKLAND,2020-2021,36087,5
2021-01-16,SULLIVAN,2020-2021,36105,1
2021-01-16,OSWEGO,2020-2021,36075,1
2021-01-16,RENSSELAER,2020-2021,36083,7
2021-01-16,ULSTER,2020-2021,36111,0
2021-01-16,CORTLAND,2020-2021,36023,3
2021-01-16,RICHMOND,2020-2021,36085,2
2021-01-16,YATES,2020-2021,36123,0
2021-01-16,ALBANY,2020-2021,36001,1
2021-01-16,FRANKLIN,2020-2021,36033,0
2021-01-16,OTSEGO,2020-2021,36077,2
2021-01-16,DELAWARE,2020-2021,36025,1
2021-01-16,FULTON,2020-2021,36035,1
2021-01-16,WAYNE,2020-2021,36117,0
2021-01-16,GENESEE,2020-2021,36037,0
2021-01-16,HERKIMER,2020-2021,36043,21
2021-01-16,ONONDAGA,2020-2021,36067,3
2021-01-16,JEFFERSON,2020-2021,36045,9
2021-01-16,CHEMUNG,2020-2021,36015,0
2021-01-16,MADISON,2020-2021,36053,1
2021-01-16,ESSEX,2020-2021,36031,2
2021-01-16,PUTNAM,2020-2021,36079,2
2021-01-16,CLINTON,2020-2021,36019,4
2021-01-16,SCHOHARIE,2020-2021,36095,1
2021-01-16,ORANGE,2020-2021,36071,1
2021-01-16,SCHENECTADY,2020-2021,36093,2
2021-01-16,HAMILTON,2020-2021,36041,0
2021-01-16,GREENE,2020-2021,36039,0
2021-01-16,ORLEANS,2020-2021,36073,0
2021-01-16,SARATOGA,2020-2021,36091,8
2021-01-16,MONROE,2020-2021,36055,0
2021-01-16,NASSAU,2020-2021,36059,18
2021-01-16,CHENANGO,2020-2021,36017,1
2021-01-23,ULSTER,2020-2021,36111,2
2021-01-23,WARREN,2020-2021,36113,3
2021-01-23,TOMPKINS,2020-2021,36109,0
2021-01-23,WASHINGTON,2020-2021,36115,2
2021-01-23,YATES,2020-2021,36123,0
2021-01-23,WYOMING,2020-2021,36121,0
2021-01-23,TIOGA,2020-2021,36107,0
2021-01-23,WESTCHESTER,2020-2021,36119,2
2021-01-23,WAYNE,2020-2021,36117,0
2021-01-23,NIAGARA,2020-2021,36063,4
2021-01-23,MADISON,2020-2021,36053,1
2021-01-23,ROCKLAND,2020-2021,36087,0
2021-01-23,ONTARIO,2020-2021,36069,0
2021-01-23,GENESEE,2020-2021,36037,1
2021-01-23,RICHMOND,2020-2021,36085,5
2021-01-23,GREENE,2020-2021,36039,1
2021-01-23,RENSSELAER,2020-2021,36083,2
2021-01-23,HAMILTON,2020-2021,36041,0
2021-01-23,HERKIMER,2020-2021,36043,8
2021-01-23,QUEENS,2020-2021,36081,31
2021-01-23,JEFFERSON,2020-2021,36045,3
2021-01-23,KINGS,2020-2021,36047,27
2021-01-23,PUTNAM,2020-2021,36079,1
2021-01-23,FRANKLIN,2020-2021,36033,0
2021-01-23,LEWIS,2020-2021,36049,2
2021-01-23,OTSEGO,2020-2021,36077,2
2021-01-23,SUFFOLK,2020-2021,36103,30
2021-01-23,MONROE,2020-2021,36055,3
2021-01-23,SULLIVAN,2020-2021,36105,3
2021-01-23,ALBANY,2020-2021,36001,4
2021-01-23,MONTGOMERY,2020-2021,36057,1
2021-01-23,OSWEGO,2020-2021,36075,1
2021-01-23,NASSAU,2020-2021,36059,18
2021-01-23,ORLEANS,2020-2021,36073,0
2021-01-23,NEW YORK,2020-2021,36061,4
2021-01-23,ORANGE,2020-2021,36071,1
2021-01-23,ONEIDA,2020-2021,36065,34
2021-01-23,LIVINGSTON,2020-2021,36051,0
2021-01-23,ESSEX,2020-2021,36031,4
2021-01-23,FULTON,2020-2021,36035,0
2021-01-23,CHEMUNG,2020-2021,36015,0
2021-01-23,BRONX,2020-2021,36005,1
2021-01-23,ALLEGANY,2020-2021,36003,0
2021-01-23,BROOME,2020-2021,36007,2
2021-01-23,STEUBEN,2020-2021,36101,1
2021-01-23,CATTARAUGUS,2020-2021,36009,0
2021-01-23,CAYUGA,2020-2021,36011,1
2021-01-23,ST LAWRENCE,2020-2021,36089,0
2021-01-23,CHAUTAUQUA,2020-2021,36013,1
2021-01-23,SENECA,2020-2021,36099,1
2021-01-23,ERIE,2020-2021,36029,9
2021-01-23,CHENANGO,2020-2021,36017,1
2021-01-23,SCHUYLER,2020-2021,36097,0
2021-01-23,CLINTON,2020-2021,36019,3
2021-01-23,ONONDAGA,2020-2021,36067,1
2021-01-23,COLUMBIA,2020-2021,36021,2
2021-01-23,SARATOGA,2020-2021,36091,1
2021-01-23,SCHOHARIE,2020-2021,36095,1
2021-01-23,CORTLAND,2020-2021,36023,1
2021-01-23,DUTCHESS,2020-2021,36027,3
2021-01-23,DELAWARE,2020-2021,36025,5
2021-01-23,SCHENECTADY,2020-2021,36093,2
2021-01-30,QUEENS,2020-2021,36081,19
2021-01-30,ONTARIO,2020-2021,36069,1
2021-01-30,TIOGA,2020-2021,36107,0
2021-01-30,ORANGE,2020-2021,36071,2
2021-01-30,STEUBEN,2020-2021,36101,1
2021-01-30,ROCKLAND,2020-2021,36087,3
2021-01-30,ORLEANS,2020-2021,36073,0
2021-01-30,SARATOGA,2020-2021,36091,1
2021-01-30,RICHMOND,2020-2021,36085,0
2021-01-30,SCHOHARIE,2020-2021,36095,1
2021-01-30,OSWEGO,2020-2021,36075,0
2021-01-30,SCHENECTADY,2020-2021,36093,1
2021-01-30,ULSTER,2020-2021,36111,0
2021-01-30,SENECA,2020-2021,36099,0
2021-01-30,RENSSELAER,2020-2021,36083,1
2021-01-30,OTSEGO,2020-2021,36077,3
2021-01-30,SCHUYLER,2020-2021,36097,0
2021-01-30,PUTNAM,2020-2021,36079,0
2021-01-30,ST LAWRENCE,2020-2021,36089,0
2021-01-30,TOMPKINS,2020-2021,36109,0
2021-01-30,MADISON,2020-2021,36053,1
2021-01-30,ONEIDA,2020-2021,36065,0
2021-01-30,ERIE,2020-2021,36029,7
2021-01-30,DUTCHESS,2020-2021,36027,3
2021-01-30,WESTCHESTER,2020-2021,36119,7
2021-01-30,DELAWARE,2020-2021,36025,2
2021-01-30,CORTLAND,2020-2021,36023,2
2021-01-30,COLUMBIA,2020-2021,36021,0
2021-01-30,CLINTON,2020-2021,36019,1
2021-01-30,ESSEX,2020-2021,36031,8
2021-01-30,CHENANGO,2020-2021,36017,0
2021-01-30,WYOMING,2020-2021,36121,1
2021-01-30,CHAUTAUQUA,2020-2021,36013,1
2021-01-30,CAYUGA,2020-2021,36011,0
2021-01-30,CATTARAUGUS,2020-2021,36009,2
2021-01-30,BROOME,2020-2021,36007,3
2021-01-30,ALLEGANY,2020-2021,36003,0
2021-01-30,BRONX,2020-2021,36005,7
2021-01-30,CHEMUNG,2020-2021,36015,0
2021-01-30,ONONDAGA,2020-2021,36067,2
2021-01-30,FRANKLIN,2020-2021,36033,0
2021-01-30,GENESEE,2020-2021,36037,0
2021-01-30,WARREN,2020-2021,36113,1
2021-01-30,NIAGARA,2020-2021,36063,2
2021-01-30,NEW YORK,2020-2021,36061,53
2021-01-30,NASSAU,2020-2021,36059,14
2021-01-30,YATES,2020-2021,36123,0
2021-01-30,MONTGOMERY,2020-2021,36057,1
2021-01-30,ALBANY,2020-2021,36001,0
2021-01-30,FULTON,2020-2021,36035,3
2021-01-30,WASHINGTON,2020-2021,36115,1
2021-01-30,LEWIS,2020-2021,36049,0
2021-01-30,KINGS,2020-2021,36047,37
2021-01-30,JEFFERSON,2020-2021,36045,11
2021-01-30,HERKIMER,2020-2021,36043,4
2021-01-30,HAMILTON,2020-2021,36041,0
2021-01-30,GREENE,2020-2021,36039,0
2021-01-30,WAYNE,2020-2021,36117,0
2021-01-30,LIVINGSTON,2020-2021,36051,0
2021-01-30,SUFFOLK,2020-2021,36103,33
2021-01-30,MONROE,2020-2021,36055,1
2021-01-30,SULLIVAN,2020-2021,36105,3
2021-02-06,SENECA,2020-2021,36099,0
2021-02-06,NASSAU,2020-2021,36059,22
2021-02-06,NEW YORK,2020-2021,36061,57
2021-02-06,TIOGA,2020-2021,36107,0
2021-02-06,DUTCHESS,2020-2021,36027,2
2021-02-06,WESTCHESTER,2020-2021,36119,5
2021-02-06,NIAGARA,2020-2021,36063,4
2021-02-06,ERIE,2020-2021,36029,12
2021-02-06,WARREN,2020-2021,36113,3
2021-02-06,DELAWARE,2020-2021,36025,2
2021-02-06,ONONDAGA,2020-2021,36067,0
2021-02-06,JEFFERSON,2020-2021,36045,5
2021-02-06,ONTARIO,2020-2021,36069,0
2021-02-06,CORTLAND,2020-2021,36023,0
2021-02-06,ORANGE,2020-2021,36071,3
2021-02-06,COLUMBIA,2020-2021,36021,0
2021-02-06,ONEIDA,2020-2021,36065,0
2021-02-06,YATES,2020-2021,36123,0
2021-02-06,MONTGOMERY,2020-2021,36057,1
2021-02-06,ESSEX,2020-2021,36031,4
2021-02-06,KINGS,2020-2021,36047,38
2021-02-06,HAMILTON,2020-2021,36041,0
2021-02-06,LEWIS,2020-2021,36049,0
2021-02-06,GREENE,2020-2021,36039,0
2021-02-06,WAYNE,2020-2021,36117,0
2021-02-06,LIVINGSTON,2020-2021,36051,1
2021-02-06,WASHINGTON,2020-2021,36115,1
2021-02-06,STEUBEN,2020-2021,36101,1
2021-02-06,GENESEE,2020-2021,36037,0
2021-02-06,MADISON,2020-2021,36053,0
2021-02-06,FULTON,2020-2021,36035,3
2021-02-06,ALBANY,2020-2021,36001,2
2021-02-06,SULLIVAN,2020-2021,36105,0
2021-02-06,FRANKLIN,2020-2021,36033,0
2021-02-06,MONROE,2020-2021,36055,1
2021-02-06,ST LAWRENCE,2020-2021,36089,1
2021-02-06,ORLEANS,2020-2021,36073,1
2021-02-06,HERKIMER,2020-2021,36043,0
2021-02-06,CAYUGA,2020-2021,36011,0
2021-02-06,CATTARAUGUS,2020-2021,36009,8
2021-02-06,ROCKLAND,2020-2021,36087,0
2021-02-06,CLINTON,2020-2021,36019,1
2021-02-06,BROOME,2020-2021,36007,0
2021-02-06,RICHMOND,2020-2021,36085,1
2021-02-06,SCHENECTADY,2020-2021,36093,0
2021-02-06,CHAUTAUQUA,2020-2021,36013,1
2021-02-06,SCHOHARIE,2020-2021,36095,1
2021-02-06,RENSSELAER,2020-2021,36083,3
2021-02-06,TOMPKINS,2020-2021,36109,1
2021-02-06,BRONX,2020-2021,36005,11
2021-02-06,ALLEGANY,2020-2021,36003,0
2021-02-06,PUTNAM,2020-2021,36079,1
2021-02-06,QUEENS,2020-2021,36081,19
2021-02-06,SARATOGA,2020-2021,36091,1
2021-02-06,WYOMING,2020-2021,36121,0
2021-02-06,OSWEGO,2020-2021,36075,0
2021-02-06,CHEMUNG,2020-2021,36015,0
2021-02-06,OTSEGO,2020-2021,36077,3
2021-02-06,ULSTER,2020-2021,36111,2
2021-02-06,SUFFOLK,2020-2021,36103,22
2021-02-06,CHENANGO,2020-2021,36017,1
2021-02-06,SCHUYLER,2020-2021,36097,0
2021-02-13,ALBANY,2020-2021,36001,1
2021-02-13,SARATOGA,2020-2021,36091,5
2021-02-13,MADISON,2020-2021,36053,2
2021-02-13,JEFFERSON,2020-2021,36045,5
2021-02-13,SCHUYLER,2020-2021,36097,0
2021-02-13,LEWIS,2020-2021,36049,0
2021-02-13,SCHOHARIE,2020-2021,36095,0
2021-02-13,SCHENECTADY,2020-2021,36093,0
2021-02-13,SENECA,2020-2021,36099,0
2021-02-13,WASHINGTON,2020-2021,36115,2
2021-02-13,LIVINGSTON,2020-2021,36051,1
2021-02-13,SULLIVAN,2020-2021,36105,1
2021-02-13,KINGS,2020-2021,36047,22
2021-02-13,ORLEANS,2020-2021,36073,1
2021-02-13,MONROE,2020-2021,36055,0
2021-02-13,ST LAWRENCE,2020-2021,36089,0
2021-02-13,OSWEGO,2020-2021,36075,0
2021-02-13,ORANGE,2020-2021,36071,3
2021-02-13,ONTARIO,2020-2021,36069,1
2021-02-13,ULSTER,2020-2021,36111,0
2021-02-13,ONEIDA,2020-2021,36065,0
2021-02-13,OTSEGO,2020-2021,36077,2
2021-02-13,WARREN,2020-2021,36113,0
2021-02-13,TOMPKINS,2020-2021,36109,0
2021-02-13,NIAGARA,2020-2021,36063,0
2021-02-13,QUEENS,2020-2021,36081,6
2021-02-13,NEW YORK,2020-2021,36061,3
2021-02-13,YATES,2020-2021,36123,0
2021-02-13,NASSAU,2020-2021,36059,7
2021-02-13,RENSSELAER,2020-2021,36083,2
2021-02-13,RICHMOND,2020-2021,36085,1
2021-02-13,MONTGOMERY,2020-2021,36057,0
2021-02-13,ROCKLAND,2020-2021,36087,0
2021-02-13,PUTNAM,2020-2021,36079,0
2021-02-13,ONONDAGA,2020-2021,36067,0
2021-02-13,STEUBEN,2020-2021,36101,0
2021-02-13,CHENANGO,2020-2021,36017,1
2021-02-13,CHAUTAUQUA,2020-2021,36013,3
2021-02-13,WESTCHESTER,2020-2021,36119,17
2021-02-13,GENESEE,2020-2021,36037,0
2021-02-13,CAYUGA,2020-2021,36011,0
2021-02-13,ERIE,2020-2021,36029,6
2021-02-13,COLUMBIA,2020-2021,36021,0
2021-02-13,FRANKLIN,2020-2021,36033,0
2021-02-13,FULTON,2020-2021,36035,7
2021-02-13,CATTARAUGUS,2020-2021,36009,9
2021-02-13,WAYNE,2020-2021,36117,1
2021-02-13,CORTLAND,2020-2021,36023,1
2021-02-13,ESSEX,2020-2021,36031,3
2021-02-13,BROOME,2020-2021,36007,2
2021-02-13,GREENE,2020-2021,36039,0
2021-02-13,WYOMING,2020-2021,36121,0
2021-02-13,HERKIMER,2020-2021,36043,2
2021-02-13,BRONX,2020-2021,36005,5
2021-02-13,ALLEGANY,2020-2021,36003,1
2021-02-13,HAMILTON,2020-2021,36041,0
2021-02-13,TIOGA,2020-2021,36107,0
2021-02-13,SUFFOLK,2020-2021,36103,29
2021-02-13,CHEMUNG,2020-2021,36015,0
2021-02-13,DELAWARE,2020-2021,36025,0
2021-02-13,DUTCHESS,2020-2021,36027,3
2021-02-13,CLINTON,2020-2021,36019,2
2021-02-20,ORLEANS,2020-2021,36073,1
2021-02-20,CHENANGO,2020-2021,36017,0
2021-02-20,HERKIMER,2020-2021,36043,0
2021-02-20,ST LAWRENCE,2020-2021,36089,0
