name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"40.943554,-72.6922184",2020-09-03,84.5,71.3,75.9,84.1,71.3,75.9,66.9,76.6,0.107,100,20.83,rain,0,0,,11.8,268.9,1008.9,50.1,9.1,226.7,19.6,8,,2020-09-03T06:19:56,2020-09-03T19:19:13,0.51,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"TT587,KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-09-04,85.6,64.4,75.3,86.7,64.4,75.7,65.5,74.3,0.06,100,4.17,rain,0,0,20.8,11.7,295.6,1011.1,20.7,9.7,257.7,22.4,8,,2020-09-04T06:20:55,2020-09-04T19:17:34,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"TT587,KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-09-05,75.7,58.2,67.7,75.7,58.2,67.7,51.2,58.8,0,0,0,,0,0,16.1,10.3,309.9,1021.4,10.7,9.9,263.9,22.7,9,,2020-09-05T06:21:55,2020-09-05T19:15:55,0.55,Clear,Clear conditions throughout the day.,clear-day,"TT587,KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-09-06,79.1,54.7,67.7,79.1,54.7,67.7,58.6,74.1,0,0,0,,0,0,,13.2,205.4,1022.1,2.7,9.9,254.3,22.2,8,,2020-09-06T06:22:54,2020-09-06T19:14:15,0.58,Clear,Clear conditions throughout the day.,clear-day,"TT587,KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-09-07,75.8,57.2,68.4,75.8,57.2,68.4,61.4,79.3,0,0,0,,0,0,18.2,11.3,146.4,1020.3,12.6,9.9,245.6,21.2,8,,2020-09-07T06:23:53,2020-09-07T19:12:35,0.62,Clear,Clear conditions throughout the day.,clear-day,"TT587,KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-09-08,79.4,55.7,67.4,79.4,55.7,67.4,62.2,84.7,0,0,0,,0,0,,8.9,127.6,1021.5,48.2,8.4,230.5,20,8,,2020-09-08T06:24:52,2020-09-08T19:10:55,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"TT587,KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-09-09,74.3,57.5,67.6,74.3,57.5,67.6,64.4,89.9,0,0,0,,0,0,,7.5,64.5,1025.7,48.3,9.2,110.6,9.6,4,,2020-09-09T06:25:51,2020-09-09T19:09:14,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"TT587,KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-09-10,77.1,70.6,73,77.1,70.6,73,71.9,96.4,1.127,100,54.17,rain,0,0,19.7,8.2,164.1,1023.7,80.9,5.3,96.6,8.3,4,,2020-09-10T06:26:50,2020-09-10T19:07:34,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"C7054,TT587,KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-09-11,75,58.7,69.1,75,58.7,69.1,64.1,84.6,0.257,100,20.83,rain,0,0,30,16.2,34.1,1021.5,52.5,9.7,154.5,13.4,6,,2020-09-11T06:27:49,2020-09-11T19:05:52,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"TT587,KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-09-12,68.9,56.5,62.4,68.9,56.5,62.4,52.3,70.8,0,0,0,,0,0,23,13.7,77.1,1026,27.6,9.9,185,16,7,,2020-09-12T06:28:48,2020-09-12T19:04:11,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"TT587,KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
